l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-001.cm.cluster,13-04-2023,18:43:53
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-001.cm.cluster,13-04-2023,18:43:53
l:2,42,8,50,0,0,143000,670000,0,0,1328,8040,2562000000,116000000000,6495000000,123000000000,6591,2752,0,0,2.7,0.71,6.65,5.62,Apr-13,18:43:53,node29-001.cm.cluster,13-04-2023,18:43:53
l:3,0,0,100,0,0,0,0,242000,49000,0,0,2564000000,116000000000,6495000000,123000000000,416,399,0,0,3.0,0.71,6.65,5.62,Apr-13,18:43:54,node29-001.cm.cluster,13-04-2023,18:43:54
l:4,0,0,100,0,0,0,0,89000,15360,0,0,2565000000,116000000000,6495000000,123000000000,224,226,0,0,3.0,0.71,6.65,5.62,Apr-13,18:43:55,node29-001.cm.cluster,13-04-2023,18:43:55
l:5,0,0,100,0,0,0,0,94000,12672,0,0,2566000000,116000000000,6495000000,123000000000,262,292,0,0,3.0,0.65,6.54,5.59,Apr-13,18:43:56,node29-001.cm.cluster,13-04-2023,18:43:56
l:6,0,0,100,0,0,0,0,103000,15000,0,0,2569000000,116000000000,6495000000,123000000000,527,382,1.0,0,9.0,0.65,6.54,5.59,Apr-13,18:43:57,node29-001.cm.cluster,13-04-2023,18:43:57
l:7,0,0,99,0,0,0,33000,137000,13000,0,0,2568000000,116000000000,6495000000,123000000000,642,352,0,0,4.0,0.65,6.54,5.59,Apr-13,18:43:58,node29-001.cm.cluster,13-04-2023,18:43:58
l:8,0,0,100,0,0,0,98000,110000,12672,0,0,2567000000,116000000000,6495000000,123000000000,264,261,0,0,3.0,0.65,6.54,5.59,Apr-13,18:43:59,node29-001.cm.cluster,13-04-2023,18:43:59
l:9,0,0,100,0,0,0,0,113000,12672,0,0,2567000000,116000000000,6495000000,123000000000,312,324,0,0,3.0,0.65,6.54,5.59,Apr-13,18:44:00,node29-001.cm.cluster,13-04-2023,18:44:00
l:10,0,0,100,0,0,0,0,103000,12672,0,0,2567000000,116000000000,6495000000,123000000000,265,242,0,0,3.0,0.60,6.44,5.56,Apr-13,18:44:01,node29-001.cm.cluster,13-04-2023,18:44:01
l:11,0,0,100,0,0,0,0,108000,12672,0,0,2567000000,116000000000,6495000000,123000000000,235,204,0,0,3.0,0.60,6.44,5.56,Apr-13,18:44:02,node29-001.cm.cluster,13-04-2023,18:44:02
l:12,0,0,100,0,0,0,0,116000,79104,0,0,2567000000,116000000000,6495000000,123000000000,253,247,0,0,0,0.60,6.44,5.56,Apr-13,18:44:03,node29-001.cm.cluster,13-04-2023,18:44:03
l:13,0,1,99,0,0,0,0,150000,189000,0,0,2567000000,116000000000,6495000000,123000000000,3370,3631,2.0,0,3.0,0.60,6.44,5.56,Apr-13,18:44:04,node29-001.cm.cluster,13-04-2023,18:44:04
l:14,0,0,100,0,0,0,557000,145000,12672,0,0,2567000000,116000000000,6495000000,123000000000,1414,3945,0,0,3.0,0.60,6.44,5.56,Apr-13,18:44:05,node29-001.cm.cluster,13-04-2023,18:44:05
l:15,0,0,100,0,0,0,0,131000,12672,0,0,2567000000,116000000000,6495000000,123000000000,269,252,0,0,3.0,0.55,6.33,5.53,Apr-13,18:44:06,node29-001.cm.cluster,13-04-2023,18:44:06
l:16,0,0,100,0,0,0,0,141000,12672,0,0,2567000000,116000000000,6495000000,123000000000,301,277,0,0,3.0,0.55,6.33,5.53,Apr-13,18:44:07,node29-001.cm.cluster,13-04-2023,18:44:07
l:17,0,0,100,0,0,0,0,137000,28288,0,0,2567000000,116000000000,6495000000,123000000000,307,330,0,0,0,0.55,6.33,5.53,Apr-13,18:44:08,node29-001.cm.cluster,13-04-2023,18:44:08
l:18,0,0,100,0,0,0,0,136000,12672,0,0,2566000000,116000000000,6495000000,123000000000,300,266,0,0,3.0,0.55,6.33,5.53,Apr-13,18:44:09,node29-001.cm.cluster,13-04-2023,18:44:09
l:19,0,0,100,0,0,0,0,122000,12672,0,0,2567000000,116000000000,6495000000,123000000000,264,253,0,0,3.0,0.55,6.33,5.53,Apr-13,18:44:10,node29-001.cm.cluster,13-04-2023,18:44:10
l:20,0,0,100,0,0,0,0,115000,15360,0,0,2567000000,116000000000,6495000000,123000000000,262,250,0,0,3.0,0.51,6.22,5.50,Apr-13,18:44:11,node29-001.cm.cluster,13-04-2023,18:44:11
l:21,0,0,100,0,0,0,0,178000,12672,0,0,2567000000,116000000000,6495000000,123000000000,383,366,0,0,3.0,0.51,6.22,5.50,Apr-13,18:44:12,node29-001.cm.cluster,13-04-2023,18:44:12
l:22,0,0,99,0,0,0,0,180000,819000,0,0,2583000000,116000000000,6495000000,123000000000,1024,1178,0,0,15,0.51,6.22,5.50,Apr-13,18:44:13,node29-001.cm.cluster,13-04-2023,18:44:13
l:23,19,15,67,0,0,0,0,522000,298000,0,0,16800000000.0,102000000000,6504000000,108000000000,26000,49000,57,0,223,0.51,6.22,5.50,Apr-13,18:44:14,node29-001.cm.cluster,13-04-2023,18:44:14
