l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-003.cm.cluster,13-04-2023,13:37:13
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-003.cm.cluster,13-04-2023,13:37:13
l:2,37,8,55,0,0,2684000,661000,0,0,1408,8104,2367000000,119000000000,4285000000,123000000000,4711,12000,0,0,2.5,14.3,18.6,19.5,Apr-13,13:37:13,node29-003.cm.cluster,13-04-2023,13:37:13
l:3,0,0,100,0,0,0,0,111000,77376,0,0,2368000000,119000000000,4285000000,123000000000,327,376,0,0,3.0,14.3,18.6,19.5,Apr-13,13:37:14,node29-003.cm.cluster,13-04-2023,13:37:14
l:4,0,0,100,0,0,0,0,82000,22080,0,0,2368000000,119000000000,4285000000,123000000000,196,178,0,0,0,14.3,18.6,19.5,Apr-13,13:37:15,node29-003.cm.cluster,13-04-2023,13:37:15
l:5,0,0,100,0,0,0,90000,141000,22080,0,0,2368000000,119000000000,4285000000,123000000000,328,286,0,0,4.0,14.3,18.6,19.5,Apr-13,13:37:16,node29-003.cm.cluster,13-04-2023,13:37:16
l:6,0,0,100,0,0,0,0,78000,22080,0,0,2368000000,119000000000,4285000000,123000000000,222,194,0,0,3.0,13.1,18.3,19.4,Apr-13,13:37:17,node29-003.cm.cluster,13-04-2023,13:37:17
l:7,0,0,100,0,0,0,0,77000,22080,0,0,2368000000,119000000000,4285000000,123000000000,260,286,0,0,3.0,13.1,18.3,19.4,Apr-13,13:37:18,node29-003.cm.cluster,13-04-2023,13:37:18
l:8,0,0,100,0,0,0,0,117000,22080,0,0,2368000000,119000000000,4285000000,123000000000,272,232,0,0,3.0,13.1,18.3,19.4,Apr-13,13:37:19,node29-003.cm.cluster,13-04-2023,13:37:19
l:9,0,1,99,0,0,0,0,77000,190000,0,0,2367000000,119000000000,4285000000,123000000000,2476,4647,0,0,0,13.1,18.3,19.4,Apr-13,13:37:20,node29-003.cm.cluster,13-04-2023,13:37:20
l:10,0,0,100,0,0,0,0,81000,22080,0,0,2366000000,119000000000,4285000000,123000000000,956,2655,0,0,3.0,13.1,18.3,19.4,Apr-13,13:37:21,node29-003.cm.cluster,13-04-2023,13:37:21
l:11,0,0,100,0,0,0,0,119000,22080,0,0,2366000000,119000000000,4285000000,123000000000,312,377,0,0,3.0,12.1,18.0,19.3,Apr-13,13:37:22,node29-003.cm.cluster,13-04-2023,13:37:22
l:12,0,0,100,0,0,0,66000,67000,22080,0,0,2366000000,119000000000,4285000000,123000000000,207,203,0,0,3.0,12.1,18.0,19.3,Apr-13,13:37:23,node29-003.cm.cluster,13-04-2023,13:37:23
l:13,0,0,100,0,0,0,0,100000,22080,0,0,2366000000,119000000000,4285000000,123000000000,243,219,0,0,3.0,12.1,18.0,19.3,Apr-13,13:37:24,node29-003.cm.cluster,13-04-2023,13:37:24
l:14,0,0,100,0,0,0,0,133000,22080,0,0,2366000000,119000000000,4285000000,123000000000,278,235,0,0,0,12.1,18.0,19.3,Apr-13,13:37:25,node29-003.cm.cluster,13-04-2023,13:37:25
l:15,0,0,100,0,0,0,0,95000,22080,0,0,2366000000,119000000000,4285000000,123000000000,268,289,0,0,3.0,12.1,18.0,19.3,Apr-13,13:37:26,node29-003.cm.cluster,13-04-2023,13:37:26
l:16,0,0,100,0,0,0,0,124000,22080,0,0,2366000000,119000000000,4285000000,123000000000,282,237,0,0,3.0,11.1,17.7,19.2,Apr-13,13:37:27,node29-003.cm.cluster,13-04-2023,13:37:27
l:17,0,0,100,0,0,0,3863000,133000,22080,0,0,2366000000,119000000000,4285000000,123000000000,347,321,0,0,3.0,11.1,17.7,19.2,Apr-13,13:37:28,node29-003.cm.cluster,13-04-2023,13:37:28
l:18,0,0,100,0,0,0,0,105000,22080,0,0,2366000000,119000000000,4285000000,123000000000,289,275,0,0,3.0,11.1,17.7,19.2,Apr-13,13:37:29,node29-003.cm.cluster,13-04-2023,13:37:29
l:19,0,0,100,0,0,0,0,164000,36000,0,0,2366000000,119000000000,4285000000,123000000000,388,471,0,0,3.0,11.1,17.7,19.2,Apr-13,13:37:30,node29-003.cm.cluster,13-04-2023,13:37:30
l:20,0,0,100,0,0,0,0,119000,22080,0,0,2366000000,119000000000,4285000000,123000000000,288,267,0,0,3.0,11.1,17.7,19.2,Apr-13,13:37:31,node29-003.cm.cluster,13-04-2023,13:37:31
