l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-002.cm.cluster,13-04-2023,18:43:53
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-002.cm.cluster,13-04-2023,18:43:53
l:2,37,8,55,0,0,549000,838000,0,0,1256,7944,2386000000,117000000000,6227000000,123000000000,4602,4177,0,0,3,0,7,6,Apr-13,18:43:53,node29-002.cm.cluster,13-04-2023,18:43:53
l:3,0,0,100,0,0,0,0,76000,77376,0,0,2386000000,117000000000,6227000000,123000000000,239,253,0,0,3,0,7,6,Apr-13,18:43:54,node29-002.cm.cluster,13-04-2023,18:43:54
l:4,1,1,99,0,0,0,0,113000,190000,0,0,2386000000,117000000000,6227000000,123000000000,2856,4399,0,0,3,0,7,6,Apr-13,18:43:55,node29-002.cm.cluster,13-04-2023,18:43:55
l:5,0,0,100,0,0,0,0,79000,22080,0,0,2385000000,117000000000,6227000000,123000000000,426,962,0,0,3,0,7,6,Apr-13,18:43:56,node29-002.cm.cluster,13-04-2023,18:43:56
l:6,1,0,99,0,0,0,0,136000,18000,0,0,2388000000,117000000000,6227000000,123000000000,1041,592,0,0,13,0,7,6,Apr-13,18:43:57,node29-002.cm.cluster,13-04-2023,18:43:57
l:7,0,0,100,0,0,0,0,101000,26304,0,0,2387000000,117000000000,6227000000,123000000000,240,218,0,0,0,0,7,6,Apr-13,18:43:58,node29-002.cm.cluster,13-04-2023,18:43:58
l:8,0,0,100,0,0,0,0,91000,22080,0,0,2387000000,117000000000,6227000000,123000000000,235,220,0,0,3,0,7,6,Apr-13,18:43:59,node29-002.cm.cluster,13-04-2023,18:43:59
l:9,0,0,100,0,0,0,0,105000,22080,0,0,2387000000,117000000000,6227000000,123000000000,270,232,0,0,3,0,7,6,Apr-13,18:44:00,node29-002.cm.cluster,13-04-2023,18:44:00
l:10,0,0,100,0,0,0,0,95000,22080,0,0,2387000000,117000000000,6227000000,123000000000,300,287,0,0,3,0,7,6,Apr-13,18:44:01,node29-002.cm.cluster,13-04-2023,18:44:01
l:11,0,0,100,0,0,0,0,100000,22080,0,0,2387000000,117000000000,6227000000,123000000000,241,221,0,0,3,0,7,6,Apr-13,18:44:02,node29-002.cm.cluster,13-04-2023,18:44:02
l:12,0,0,100,0,0,0,557000,109000,22080,0,0,2387000000,117000000000,6227000000,123000000000,254,246,0,0,0,0,7,6,Apr-13,18:44:03,node29-002.cm.cluster,13-04-2023,18:44:03
l:13,0,0,100,0,0,0,0,142000,22080,0,0,2387000000,117000000000,6227000000,123000000000,311,247,0,0,3,0,7,6,Apr-13,18:44:04,node29-002.cm.cluster,13-04-2023,18:44:04
l:14,0,0,100,0,0,0,0,128000,22080,0,0,2387000000,117000000000,6227000000,123000000000,381,337,0,0,3,0,7,6,Apr-13,18:44:05,node29-002.cm.cluster,13-04-2023,18:44:05
l:15,0,0,100,0,0,0,0,133000,22080,0,0,2387000000,117000000000,6227000000,123000000000,293,248,0,0,3,0,7,6,Apr-13,18:44:06,node29-002.cm.cluster,13-04-2023,18:44:06
l:16,0,0,100,0,0,0,98000,128000,22080,0,0,2387000000,117000000000,6227000000,123000000000,316,261,0,0,3,0,7,6,Apr-13,18:44:07,node29-002.cm.cluster,13-04-2023,18:44:07
