l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-016.cm.cluster,13-04-2023,13:37:13
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-016.cm.cluster,13-04-2023,13:37:13
l:2,34,4,61,0,0,2356000,1867000,0,0,0,0,2517000000,115000000000,7916000000,122000000000,5009,1720,0,0,2,0,0,0,Apr-13,13:37:13,0,13-04-2023,13:37:13
l:3,0,0,100,0,0,0,0,112000,77376,0,0,2516000000,115000000000,7916000000,122000000000,327,329,0,0,3,0,0,0,Apr-13,13:37:14,0,13-04-2023,13:37:14
l:4,0,0,100,0,0,0,0,82000,22080,0,0,2517000000,115000000000,7916000000,122000000000,205,188,0,0,0,0,0,0,Apr-13,13:37:15,0,13-04-2023,13:37:15
l:5,0,0,100,0,0,0,0,141000,22080,0,0,2517000000,115000000000,7916000000,122000000000,330,265,0,0,3,0,0,0,Apr-13,13:37:16,0,13-04-2023,13:37:16
l:6,0,0,100,0,0,0,0,78000,27840,0,0,2517000000,115000000000,7916000000,122000000000,216,196,0,0,3,0,0,0,Apr-13,13:37:17,0,13-04-2023,13:37:17
l:7,0,0,100,0,0,0,0,78000,26304,0,0,2516000000,115000000000,7916000000,122000000000,315,306,0,0,3,0,0,0,Apr-13,13:37:18,0,13-04-2023,13:37:18
l:8,0,0,100,0,0,0,0,118000,26304,0,0,2516000000,115000000000,7916000000,122000000000,256,222,0,0,3,0,0,0,Apr-13,13:37:19,0,13-04-2023,13:37:19
l:9,0,0,100,0,0,0,0,67000,22080,0,0,2517000000,115000000000,7916000000,122000000000,174,172,0,0,0,0,0,0,Apr-13,13:37:20,0,13-04-2023,13:37:20
l:10,0,0,100,0,0,0,0,77000,22080,0,0,2517000000,115000000000,7916000000,122000000000,185,174,0,0,3,0,0,0,Apr-13,13:37:21,0,13-04-2023,13:37:21
l:11,0,0,100,0,0,0,0,124000,22080,0,0,2517000000,115000000000,7916000000,122000000000,345,310,0,0,3,0,0,0,Apr-13,13:37:22,0,13-04-2023,13:37:22
l:12,0,0,100,0,0,0,0,67000,22080,0,0,2517000000,115000000000,7916000000,122000000000,189,186,0,0,3,0,0,0,Apr-13,13:37:23,0,13-04-2023,13:37:23
l:13,0,0,100,0,0,0,492000,101000,37696,0,0,2517000000,115000000000,7916000000,122000000000,259,231,0,0,3,0,0,0,Apr-13,13:37:24,0,13-04-2023,13:37:24
l:14,0,0,100,0,0,0,0,133000,22080,0,0,2517000000,115000000000,7916000000,122000000000,287,237,0,0,0,0,0,0,Apr-13,13:37:25,0,13-04-2023,13:37:25
l:15,0,0,100,0,0,0,0,95000,22080,0,0,2517000000,115000000000,7916000000,122000000000,315,278,0,0,3,0,0,0,Apr-13,13:37:26,0,13-04-2023,13:37:26
l:16,0,0,100,0,0,0,0,124000,22080,0,0,2517000000,115000000000,7916000000,122000000000,271,238,0,0,3,0,0,0,Apr-13,13:37:27,0,13-04-2023,13:37:27
l:17,0,0,100,0,0,0,0,133000,22080,0,0,2517000000,115000000000,7916000000,122000000000,293,248,0,0,3,0,0,0,Apr-13,13:37:28,0,13-04-2023,13:37:28
l:18,0,0,100,0,0,0,197000,105000,22080,0,0,2517000000,115000000000,7916000000,122000000000,259,232,0,0,3,0,0,0,Apr-13,13:37:29,0,13-04-2023,13:37:29
l:19,0,0,100,0,0,0,0,137000,22080,0,0,2517000000,115000000000,7916000000,122000000000,366,328,0,0,0,0,0,0,Apr-13,13:37:30,0,13-04-2023,13:37:30
l:20,0,0,100,0,0,0,66000,119000,22080,0,0,2517000000,115000000000,7916000000,122000000000,270,241,0,0,4,0,0,0,Apr-13,13:37:31,0,13-04-2023,13:37:31
l:21,0,0,100,0,0,0,0,137000,22080,0,0,2517000000,115000000000,7916000000,122000000000,284,236,0,0,3,0,0,0,Apr-13,13:37:32,0,13-04-2023,13:37:32
l:22,1,1,98,0,0,0,0,456000,251000,0,0,2520000000,115000000000,7916000000,122000000000,5841,5217,0,0,18,0,0,0,Apr-13,13:37:33,0,13-04-2023,13:37:33
l:23,0,0,100,0,0,0,197000,84000,22080,0,0,2519000000,115000000000,7916000000,122000000000,652,1600,0,0,3,0,0,0,Apr-13,13:37:34,0,13-04-2023,13:37:34
l:24,0,0,100,0,0,0,0,156000,22080,0,0,2519000000,115000000000,7916000000,122000000000,311,264,0,0,0,0,0,0,Apr-13,13:37:35,0,13-04-2023,13:37:35
l:25,0,0,100,0,0,0,0,121000,51904,0,0,2519000000,115000000000,7916000000,122000000000,252,206,0,0,3,0,0,0,Apr-13,13:37:36,0,13-04-2023,13:37:36
l:26,0,0,100,0,0,0,0,76000,22080,0,0,2519000000,115000000000,7916000000,122000000000,195,186,0,0,3,0,0,0,Apr-13,13:37:37,0,13-04-2023,13:37:37
l:27,0,0,100,0,0,0,0,131000,24768,0,0,2519000000,115000000000,7916000000,122000000000,343,325,0,0,3,0,0,0,Apr-13,13:37:38,0,13-04-2023,13:37:38
l:28,0,0,100,0,0,0,0,124000,22080,0,0,2519000000,115000000000,7916000000,122000000000,274,235,0,0,3,0,0,0,Apr-13,13:37:39,0,13-04-2023,13:37:39
l:29,0,0,100,0,0,0,0,75000,22080,0,0,2519000000,115000000000,7916000000,122000000000,193,170,0,0,0,0,0,0,Apr-13,13:37:40,0,13-04-2023,13:37:40
l:30,0,0,100,0,0,0,0,125000,44608,0,0,2519000000,115000000000,7916000000,122000000000,289,247,0,0,3,0,0,0,Apr-13,13:37:41,0,13-04-2023,13:37:41
l:31,0,0,100,0,0,0,197000,97000,22080,0,0,2519000000,115000000000,7916000000,122000000000,315,303,0,0,4,0,0,0,Apr-13,13:37:42,0,13-04-2023,13:37:42
l:32,0,0,100,0,0,0,328000,82000,24768,0,0,2519000000,115000000000,7916000000,122000000000,257,250,0,0,3,0,0,0,Apr-13,13:37:43,0,13-04-2023,13:37:43
l:33,0,0,100,0,0,0,459000,102000,22080,0,0,2519000000,115000000000,7916000000,122000000000,245,219,0,0,3,0,0,0,Apr-13,13:37:44,0,13-04-2023,13:37:44
l:34,0,0,100,0,0,0,0,85000,22080,0,0,2519000000,115000000000,7916000000,122000000000,203,192,0,0,0,0,0,0,Apr-13,13:37:45,0,13-04-2023,13:37:45
l:35,0,0,100,0,0,0,0,77000,22080,0,0,2519000000,115000000000,7916000000,122000000000,279,268,0,0,3,0,0,0,Apr-13,13:37:46,0,13-04-2023,13:37:46
l:36,0,0,100,0,0,0,0,89000,22080,0,0,2519000000,115000000000,7916000000,122000000000,217,190,0,0,3,0,0,0,Apr-13,13:37:47,0,13-04-2023,13:37:47
l:37,0,0,100,0,0,0,0,82000,30528,0,0,2519000000,115000000000,7916000000,122000000000,240,215,0,0,3,0,0,0,Apr-13,13:37:48,0,13-04-2023,13:37:48
l:38,0,0,100,0,0,0,98000,110000,22080,0,0,2519000000,115000000000,7916000000,122000000000,240,212,0,0,3,0,0,0,Apr-13,13:37:49,0,13-04-2023,13:37:49
l:39,0,0,100,0,0,0,0,53000,22080,0,0,2519000000,115000000000,7916000000,122000000000,210,216,0,0,0,0,0,0,Apr-13,13:37:50,0,13-04-2023,13:37:50
l:40,0,0,100,0,0,0,0,110000,22080,0,0,2519000000,115000000000,7916000000,122000000000,257,230,0,0,3,0,0,0,Apr-13,13:37:51,0,13-04-2023,13:37:51
l:41,0,0,100,0,0,0,0,109000,22080,0,0,2519000000,115000000000,7916000000,122000000000,236,202,0,0,3,0,0,0,Apr-13,13:37:52,0,13-04-2023,13:37:52
l:42,0,0,100,0,0,0,0,67000,22080,0,0,2519000000,115000000000,7916000000,122000000000,178,176,0,0,3,0,0,0,Apr-13,13:37:53,0,13-04-2023,13:37:53
l:43,0,0,100,0,0,0,0,133000,22080,0,0,2519000000,115000000000,7916000000,122000000000,345,314,0,0,3,0,0,0,Apr-13,13:37:54,0,13-04-2023,13:37:54
l:44,0,0,100,0,0,0,0,133000,22080,0,0,2519000000,115000000000,7916000000,122000000000,285,244,0,0,0,0,0,0,Apr-13,13:37:55,0,13-04-2023,13:37:55
l:45,0,0,100,0,0,0,0,100000,22080,0,0,2519000000,115000000000,7916000000,122000000000,236,206,0,0,3,0,0,0,Apr-13,13:37:56,0,13-04-2023,13:37:56
l:46,0,0,100,0,0,0,0,114000,22080,0,0,2519000000,115000000000,7916000000,122000000000,244,221,0,0,3,0,0,0,Apr-13,13:37:57,0,13-04-2023,13:37:57
l:47,0,0,100,0,0,0,0,135000,22080,0,0,2519000000,115000000000,7916000000,122000000000,367,344,0,0,3,0,0,0,Apr-13,13:37:58,0,13-04-2023,13:37:58
l:48,0,0,100,0,0,0,0,100000,22080,0,0,2519000000,115000000000,7916000000,122000000000,224,203,0,0,3,0,0,0,Apr-13,13:37:59,0,13-04-2023,13:37:59
l:49,0,0,100,0,0,0,0,140000,22080,0,0,2519000000,115000000000,7916000000,122000000000,272,232,0,0,0,0,0,0,Apr-13,13:38:00,0,13-04-2023,13:38:00
l:50,0,0,100,0,0,0,590000,123000,22080,0,0,2519000000,115000000000,7916000000,122000000000,256,242,0,0,3,0,0,0,Apr-13,13:38:01,0,13-04-2023,13:38:01
l:51,0,0,100,0,0,0,0,121000,22080,0,0,2520000000,115000000000,7916000000,122000000000,346,344,0,0,3,0,0,0,Apr-13,13:38:02,0,13-04-2023,13:38:02
l:52,0,0,100,0,0,0,0,128000,26304,0,0,2520000000,115000000000,7916000000,122000000000,289,281,0,0,3,0,0,0,Apr-13,13:38:03,0,13-04-2023,13:38:03
l:53,0,0,100,0,0,0,66000,112000,26304,0,0,2520000000,115000000000,7916000000,122000000000,295,286,0,0,3,0,0,0,Apr-13,13:38:04,0,13-04-2023,13:38:04
l:54,0,0,100,0,0,0,66000,98000,22080,0,0,2520000000,115000000000,7916000000,122000000000,230,236,0,0,0,0,0,0,Apr-13,13:38:05,0,13-04-2023,13:38:05
l:55,0,0,100,0,0,0,0,119000,22080,0,0,2520000000,115000000000,7916000000,122000000000,364,350,0,0,3,0,0,0,Apr-13,13:38:06,0,13-04-2023,13:38:06
l:56,0,0,100,0,0,0,0,117000,22080,0,0,2519000000,115000000000,7916000000,122000000000,280,264,0,0,3,0,0,0,Apr-13,13:38:07,0,13-04-2023,13:38:07
l:57,0,0,100,0,0,0,0,100000,24768,0,0,2519000000,115000000000,7916000000,122000000000,275,280,0,0,3,0,0,0,Apr-13,13:38:08,0,13-04-2023,13:38:08
l:58,0,0,100,0,0,0,0,119000,22080,0,0,2519000000,115000000000,7916000000,122000000000,280,272,0,0,3,0,0,0,Apr-13,13:38:09,0,13-04-2023,13:38:09
l:59,0,0,100,0,0,0,0,88000,22080,0,0,2519000000,115000000000,7916000000,122000000000,281,297,0,0,0,0,0,0,Apr-13,13:38:10,0,13-04-2023,13:38:10
l:60,0,0,100,0,0,0,0,81000,22080,0,0,2519000000,115000000000,7916000000,122000000000,213,222,0,0,3,0,0,0,Apr-13,13:38:11,0,13-04-2023,13:38:11
l:61,0,0,100,0,0,0,5243000,100000,22080,0,0,2519000000,115000000000,7916000000,122000000000,272,292,0,0,3,0,0,0,Apr-13,13:38:12,0,13-04-2023,13:38:12
l:62,0,0,100,0,0,0,918000,70000,22080,0,0,2519000000,115000000000,7916000000,122000000000,252,275,0,0,3,0,0,0,Apr-13,13:38:13,0,13-04-2023,13:38:13
l:63,0,0,100,0,0,0,0,96000,22080,0,0,2518000000,115000000000,7917000000,122000000000,425,392,0,0,3,0,0,0,Apr-13,13:38:14,0,13-04-2023,13:38:14
l:64,0,0,100,0,0,0,0,91000,22080,0,0,2518000000,115000000000,7917000000,122000000000,231,237,0,0,0,0,0,0,Apr-13,13:38:15,0,13-04-2023,13:38:15
l:65,0,0,100,0,0,0,0,50000,44608,0,0,2518000000,115000000000,7917000000,122000000000,202,214,0,0,3,0,0,0,Apr-13,13:38:16,0,13-04-2023,13:38:16
l:66,0,0,100,0,0,0,0,91000,22080,0,0,2518000000,115000000000,7917000000,122000000000,244,240,0,0,3,0,0,0,Apr-13,13:38:17,0,13-04-2023,13:38:17
l:67,0,0,100,0,0,0,0,96000,26304,0,0,2518000000,115000000000,7917000000,122000000000,333,339,0,0,3,0,0,0,Apr-13,13:38:18,0,13-04-2023,13:38:18
l:68,0,0,100,0,0,0,0,67000,26304,0,0,2518000000,115000000000,7917000000,122000000000,208,228,0,0,3,0,0,0,Apr-13,13:38:19,0,13-04-2023,13:38:19
l:69,0,0,100,0,0,0,0,95000,22080,0,0,2518000000,115000000000,7917000000,122000000000,224,224,0,0,0,0,0,0,Apr-13,13:38:20,0,13-04-2023,13:38:20
l:70,0,0,100,0,0,0,0,128000,51392,0,0,2518000000,115000000000,7917000000,122000000000,291,282,0,0,3,0,0,0,Apr-13,13:38:21,0,13-04-2023,13:38:21
l:71,0,0,100,0,0,0,0,103000,22080,0,0,2518000000,115000000000,7917000000,122000000000,341,339,0,0,3,0,0,0,Apr-13,13:38:22,0,13-04-2023,13:38:22
l:72,0,0,100,0,0,0,0,95000,22080,0,0,2518000000,115000000000,7917000000,122000000000,254,248,0,0,3,0,0,0,Apr-13,13:38:23,0,13-04-2023,13:38:23
l:73,0,0,100,0,0,0,0,160000,22080,0,0,2518000000,115000000000,7917000000,122000000000,355,310,0,0,3,0,0,0,Apr-13,13:38:24,0,13-04-2023,13:38:24
l:74,0,0,100,0,0,0,0,117000,19000,0,0,2518000000,115000000000,7917000000,122000000000,308,323,0,0,2,0,0,0,Apr-13,13:38:25,0,13-04-2023,13:38:25
l:75,0,0,100,0,0,0,0,141000,22080,0,0,2518000000,115000000000,7917000000,122000000000,389,359,0,0,3,0,0,0,Apr-13,13:38:26,0,13-04-2023,13:38:26
l:76,0,0,100,0,0,0,0,128000,22080,0,0,2518000000,115000000000,7917000000,122000000000,268,254,0,0,3,0,0,0,Apr-13,13:38:27,0,13-04-2023,13:38:27
