l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node30-004.cm.cluster,19-04-2023,15:02:24
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node30-004.cm.cluster,19-04-2023,15:02:24
l:2,22,4,74,0,0,46000,1091000,0,0,0,0,0,32,2485000000,0,0,123000000000,3855,732,0,0,2,0,0,0,Apr-19,15:02:24,0,19-04-2023,15:02:24
l:3,0,0,100,0,0,0,0,89000,76224,0,0,0,0,2485000000,0,0,123000000000,213,163,0,0,3,0,0,0,Apr-19,15:02:25,0,19-04-2023,15:02:25
l:4,0,0,100,0,0,0,0,110000,25664,20992,0,0,0,2485000000,0,0,123000000000,316,272,0,0,3,0,0,0,Apr-19,15:02:26,0,19-04-2023,15:02:26
l:5,0,0,100,0,0,0,0,112000,22976,0,0,0,0,2485000000,0,0,123000000000,213,161,0,0,3,0,0,0,Apr-19,15:02:27,0,19-04-2023,15:02:27
l:6,0,0,100,0,0,0,0,124000,22976,0,0,0,0,2485000000,0,0,123000000000,263,197,0,0,3,0,0,0,Apr-19,15:02:28,0,19-04-2023,15:02:28
l:7,0,0,100,0,0,0,0,143000,22976,0,0,0,0,2485000000,0,0,123000000000,244,180,0,0,0,0,0,0,Apr-19,15:02:29,0,19-04-2023,15:02:29
l:8,0,0,100,0,0,0,0,99000,22976,0,0,0,0,2485000000,0,0,123000000000,275,238,0,0,3,0,0,0,Apr-19,15:02:30,0,19-04-2023,15:02:30
l:9,0,0,100,0,0,0,0,144000,22976,0,0,0,0,2485000000,0,0,123000000000,297,217,0,0,3,0,0,0,Apr-19,15:02:31,0,19-04-2023,15:02:31
l:10,0,0,100,0,0,0,0,177000,38208,0,14592,0,0,2485000000,0,0,123000000000,342,248,0,0,3,0,0,0,Apr-19,15:02:32,0,19-04-2023,15:02:32
l:11,0,0,100,0,0,0,0,75000,22976,0,0,0,0,2485000000,0,0,123000000000,197,166,0,0,3,0,0,0,Apr-19,15:02:33,0,19-04-2023,15:02:33
l:12,0,0,100,0,0,0,0,147000,38592,20992,0,0,0,2485000000,0,0,123000000000,324,281,0,0,0,0,0,0,Apr-19,15:02:34,0,19-04-2023,15:02:34
l:13,0,0,100,0,0,0,0,141000,22976,0,0,0,0,2485000000,0,0,123000000000,278,219,0,0,3,0,0,0,Apr-19,15:02:35,0,19-04-2023,15:02:35
l:14,0,0,100,0,0,0,0,97000,37184,0,0,0,0,2485000000,0,0,123000000000,226,162,0,0,3,0,0,0,Apr-19,15:02:36,0,19-04-2023,15:02:36
l:15,0,0,100,0,0,0,0,126000,22976,0,0,0,0,2485000000,0,0,123000000000,245,180,0,0,3,0,0,0,Apr-19,15:02:37,0,19-04-2023,15:02:37
l:16,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2484000000,0,0,123000000000,316,270,0,0,3,0,0,0,Apr-19,15:02:38,0,19-04-2023,15:02:38
l:17,7,3,90,0,0,0,0,1779000,155000,0,0,0,0,5448000000,0,0,120000000000,7920,35000,112,0,844,0,0,0,Apr-19,15:02:39,0,19-04-2023,15:02:39
l:18,98,1,1,0,0,0,0,113000,70000,0,0,0,0,5451000000,0,0,120000000000,45000,36000,260,0,3,0,0,0,Apr-19,15:02:40,0,19-04-2023,15:02:40
l:19,99,1,0,0,0,0,66000,109000,22976,0,0,0,0,5451000000,0,0,120000000000,45000,33000,204,0,4,0,0,0,Apr-19,15:02:41,0,19-04-2023,15:02:41
l:20,99,1,0,0,0,0,0,71000,22976,0,0,0,0,5450000000,0,0,120000000000,45000,32000,255,0,3,0,0,0,Apr-19,15:02:42,0,19-04-2023,15:02:42
l:21,99,1,0,0,0,0,0,100000,22976,0,0,0,0,5450000000,0,0,120000000000,45000,32000,295,0,3,10,2,1,Apr-19,15:02:43,0,19-04-2023,15:02:43
l:22,99,1,0,0,0,0,0,137000,22976,0,0,0,0,5450000000,0,0,120000000000,44000,31000,171,0,0,10,2,1,Apr-19,15:02:44,0,19-04-2023,15:02:44
l:23,99,1,0,0,0,0,0,81000,22976,0,0,0,0,5450000000,0,0,120000000000,45000,32000,121,0,3,10,2,1,Apr-19,15:02:45,0,19-04-2023,15:02:45
l:24,99,1,0,0,0,0,0,89000,22976,20992,0,0,0,5450000000,0,0,120000000000,45000,33000,231,0,3,10,2,1,Apr-19,15:02:46,0,19-04-2023,15:02:46
l:25,99,1,0,0,0,0,66000,134000,25664,0,0,0,0,5450000000,0,0,120000000000,45000,33000,275,0,3,10,2,1,Apr-19,15:02:47,0,19-04-2023,15:02:47
l:26,99,1,0,0,0,0,295000,93000,22976,0,0,0,0,5450000000,0,0,120000000000,45000,32000,178,0,3,30,6,2,Apr-19,15:02:48,0,19-04-2023,15:02:48
l:27,99,1,0,0,0,0,0,44000,22976,0,0,0,0,5449000000,0,0,120000000000,44000,32000,242,0,0,30,6,2,Apr-19,15:02:49,0,19-04-2023,15:02:49
l:28,99,1,0,0,0,0,0,129000,22976,0,0,0,0,5449000000,0,0,120000000000,45000,33000,292,0,3,30,6,2,Apr-19,15:02:50,0,19-04-2023,15:02:50
l:29,99,1,0,0,0,0,0,166000,189000,0,0,0,0,5450000000,0,0,120000000000,47000,36000,310,0,3,30,6,2,Apr-19,15:02:51,0,19-04-2023,15:02:51
l:30,99,1,0,0,0,0,0,52000,22976,0,0,0,0,5448000000,0,0,120000000000,46000,34000,223,0,3,30,6,2,Apr-19,15:02:52,0,19-04-2023,15:02:52
l:31,99,1,0,0,0,0,0,122000,22976,0,0,0,0,5447000000,0,0,120000000000,45000,32000,203,0,3,42,9,3,Apr-19,15:02:53,0,19-04-2023,15:02:53
l:32,99,1,0,0,0,0,0,90000,22976,0,0,0,0,5447000000,0,0,120000000000,44000,33000,274,0,0,42,9,3,Apr-19,15:02:54,0,19-04-2023,15:02:54
l:33,99,1,0,0,0,0,0,138000,22976,0,0,0,0,5447000000,0,0,120000000000,48000,33000,172,0,3,42,9,3,Apr-19,15:02:55,0,19-04-2023,15:02:55
l:34,99,1,0,0,0,0,0,126000,25664,0,0,0,0,5447000000,0,0,120000000000,47000,32000,260,0,3,42,9,3,Apr-19,15:02:56,0,19-04-2023,15:02:56
l:35,99,1,0,0,0,0,0,79000,45504,0,0,0,0,5447000000,0,0,120000000000,46000,33000,328,0,3,42,9,3,Apr-19,15:02:57,0,19-04-2023,15:02:57
l:36,99,1,0,0,0,0,459000,145000,22976,0,0,0,0,5447000000,0,0,120000000000,47000,32000,270,0,3,61,14,5,Apr-19,15:02:58,0,19-04-2023,15:02:58
l:37,99,1,0,0,0,0,0,112000,22976,0,0,0,0,5447000000,0,0,120000000000,48000,32000,293,0,0,61,14,5,Apr-19,15:02:59,0,19-04-2023,15:02:59
l:38,99,1,0,0,0,0,0,85000,22976,0,0,0,0,5447000000,0,0,120000000000,46000,32000,133,0,3,61,14,5,Apr-19,15:03:00,0,19-04-2023,15:03:00
l:39,99,1,0,0,0,0,0,152000,22976,0,0,0,0,5447000000,0,0,120000000000,45000,32000,239,0,3,61,14,5,Apr-19,15:03:01,0,19-04-2023,15:03:01
l:40,99,1,0,0,0,0,0,112000,22976,20992,0,0,0,5447000000,0,0,120000000000,45000,33000,275,0,3,61,14,5,Apr-19,15:03:02,0,19-04-2023,15:03:02
