l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node26-019.cm.cluster,19-04-2023,14:14:33
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node26-019.cm.cluster,19-04-2023,14:14:33
l:2,38,5,57,0,0,1224000,937000,0,0,0,0,0,24,2693000000,120000000000,2188000000,122000000000,6512,15000,0,0,3,1,13,9,Apr-19,14:14:33,0,19-04-2023,14:14:33
l:3,0,0,100,0,0,0,0,149000,18000,0,0,0,0,2693000000,120000000000,2188000000,122000000000,293,250,0,0,3,1,13,9,Apr-19,14:14:34,0,19-04-2023,14:14:34
l:4,0,0,100,0,0,0,0,69000,4224,20992,0,0,0,2693000000,120000000000,2188000000,122000000000,177,188,0,0,3,1,13,9,Apr-19,14:14:35,0,19-04-2023,14:14:35
l:5,0,0,100,0,0,0,0,93000,4224,0,0,0,0,2693000000,120000000000,2188000000,122000000000,197,163,0,0,3,1,13,9,Apr-19,14:14:36,0,19-04-2023,14:14:36
l:6,0,0,100,0,0,0,0,88000,39552,0,0,0,0,2693000000,120000000000,2188000000,122000000000,199,220,0,0,0,1,13,9,Apr-19,14:14:37,0,19-04-2023,14:14:37
l:7,0,0,100,0,0,0,0,72000,4224,0,0,0,0,2693000000,120000000000,2188000000,122000000000,159,130,0,0,3,1,13,9,Apr-19,14:14:38,0,19-04-2023,14:14:38
l:8,0,0,100,0,0,0,0,121000,4224,20992,0,0,0,2693000000,120000000000,2188000000,122000000000,206,169,0,0,3,1,13,9,Apr-19,14:14:39,0,19-04-2023,14:14:39
l:9,0,0,100,0,0,0,918000,97000,4224,0,0,0,0,2693000000,120000000000,2188000000,122000000000,207,193,0,0,3,1,13,9,Apr-19,14:14:40,0,19-04-2023,14:14:40
l:10,0,0,100,0,0,0,0,90000,4224,0,0,0,0,2693000000,120000000000,2188000000,122000000000,248,274,0,0,3,1,13,9,Apr-19,14:14:41,0,19-04-2023,14:14:41
l:11,0,0,100,0,0,0,0,116000,4224,0,0,0,0,2693000000,120000000000,2188000000,122000000000,221,196,0,0,0,1,13,9,Apr-19,14:14:42,0,19-04-2023,14:14:42
l:12,0,0,100,0,0,0,0,92000,39552,76992,26112,0,0,2693000000,120000000000,2188000000,122000000000,211,202,0,0,3,1,13,9,Apr-19,14:14:43,0,19-04-2023,14:14:43
l:13,1,1,98,0,0,0,0,172000,204000,0,0,0,0,2694000000,120000000000,2188000000,122000000000,3049,3839,0,0,13,1,13,9,Apr-19,14:14:44,0,19-04-2023,14:14:44
l:14,0,0,100,0,0,0,0,143000,4224,0,0,0,0,2694000000,120000000000,2188000000,122000000000,739,1809,0,0,3,1,13,9,Apr-19,14:14:45,0,19-04-2023,14:14:45
l:15,0,0,100,0,0,0,66000,107000,4224,0,0,0,0,2694000000,120000000000,2188000000,122000000000,240,261,0,0,3,1,13,9,Apr-19,14:14:46,0,19-04-2023,14:14:46
l:16,0,0,100,0,0,0,0,156000,4224,20992,0,0,0,2694000000,120000000000,2188000000,122000000000,291,246,0,0,0,1,13,9,Apr-19,14:14:47,0,19-04-2023,14:14:47
l:17,0,0,99,0,0,0,0,160000,352000,0,0,0,0,2708000000,120000000000,2188000000,122000000000,828,1075,0,0,16,1,12,8,Apr-19,14:14:48,0,19-04-2023,14:14:48
l:18,19,6,70,5,0,197000,0,15000000,571000,0,0,0,0,3544000000,119000000000,2197000000,122000000000,27000,263000,46,0,759,1,12,8,Apr-19,14:14:49,0,19-04-2023,14:14:49
l:19,38,12,50,0,0,0,0,121000,4224,0,0,0,0,3545000000,119000000000,2200000000,122000000000,49000,864000,26,0,3,1,12,8,Apr-19,14:14:50,0,19-04-2023,14:14:50
l:20,38,10,51,0,0,0,0,139000,4224,0,0,0,0,3545000000,119000000000,2200000000,122000000000,46000,763000,43,0,3,1,12,8,Apr-19,14:14:51,0,19-04-2023,14:14:51
l:21,38,11,51,0,0,0,0,106000,4224,0,0,0,0,3545000000,119000000000,2200000000,122000000000,48000,824000,18,0,0,1,12,8,Apr-19,14:14:52,0,19-04-2023,14:14:52
