l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node33-020.cm.cluster,19-04-2023,14:47:22
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node33-020.cm.cluster,19-04-2023,14:47:22
l:2,35,1,65,0,0,139000,1603000,0,0,0,0,264,1464,2449000000,117000000000,5991000000,123000000000,7405,2243,1.0,0,2.8,0,0.01,0.05,Apr-19,14:47:22,node33-020.cm.cluster,19-04-2023,14:47:22
l:3,0,0,100,0,0,66000,0,128000,10000,0,0,0,0,2450000000,117000000000,5991000000,123000000000,282,271,0,0,3.0,0,0.01,0.05,Apr-19,14:47:23,node33-020.cm.cluster,19-04-2023,14:47:23
l:4,0,0,100,0,0,0,0,70000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,162,129,0,0,3.0,0,0.01,0.05,Apr-19,14:47:24,node33-020.cm.cluster,19-04-2023,14:47:24
l:5,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,173,132,0,0,0,0,0.01,0.05,Apr-19,14:47:25,node33-020.cm.cluster,19-04-2023,14:47:25
l:6,0,0,100,0,0,0,197000,87000,31424,20992,0,0,0,2450000000,117000000000,5991000000,123000000000,218,195,0,0,3.0,0,0.01,0.05,Apr-19,14:47:26,node33-020.cm.cluster,19-04-2023,14:47:26
l:7,0,0,100,0,0,0,262000,70000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,250,276,0,0,4.0,0,0.01,0.05,Apr-19,14:47:27,node33-020.cm.cluster,19-04-2023,14:47:27
l:8,0,0,100,0,0,0,0,84000,60736,0,14592,0,0,2450000000,117000000000,5991000000,123000000000,207,180,0,0,3.0,0,0.01,0.05,Apr-19,14:47:28,node33-020.cm.cluster,19-04-2023,14:47:28
l:9,0,0,100,0,0,0,0,84000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,211,175,0,0,3.0,0,0.01,0.05,Apr-19,14:47:29,node33-020.cm.cluster,19-04-2023,14:47:29
l:10,0,0,100,0,0,0,0,89000,22976,20992,0,0,0,2450000000,117000000000,5991000000,123000000000,187,169,0,0,0,0,0.01,0.05,Apr-19,14:47:30,node33-020.cm.cluster,19-04-2023,14:47:30
l:11,0,0,100,0,0,0,0,126000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,256,256,0,0,3.0,0,0.01,0.05,Apr-19,14:47:31,node33-020.cm.cluster,19-04-2023,14:47:31
l:12,0,0,100,0,0,0,0,88000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,184,162,0,0,3.0,0,0.01,0.05,Apr-19,14:47:32,node33-020.cm.cluster,19-04-2023,14:47:32
l:13,0,0,100,0,0,0,0,110000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,213,183,0,0,3.0,0,0.01,0.05,Apr-19,14:47:33,node33-020.cm.cluster,19-04-2023,14:47:33
l:14,0,0,100,0,0,0,0,117000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,195,169,0,0,3.0,0,0.01,0.05,Apr-19,14:47:34,node33-020.cm.cluster,19-04-2023,14:47:34
l:15,0,0,100,0,0,0,0,112000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,255,276,0,0,0,0,0.01,0.05,Apr-19,14:47:35,node33-020.cm.cluster,19-04-2023,14:47:35
l:16,0,0,100,0,0,0,0,136000,22976,0,0,0,0,2450000000,117000000000,5991000000,123000000000,272,230,0,0,3.0,0,0.01,0.05,Apr-19,14:47:36,node33-020.cm.cluster,19-04-2023,14:47:36
l:17,1,1,97,0,0,3768000,0,2558000,336000,0,0,0,0,2668000000,117000000000,5999000000,122000000000,15000,37000,0,0,101,0,0.01,0.05,Apr-19,14:47:37,node33-020.cm.cluster,19-04-2023,14:47:37
l:18,22,16,62,0,0,0,0,1532000,77000,3584,0,0,0,3001000000,116000000000,6001000000,122000000000,48000,1097000,12,0,760,0.64,0.15,0.09,Apr-19,14:47:38,node33-020.cm.cluster,19-04-2023,14:47:38
l:19,22,19,58,0,0,0,0,98000,22976,24576,0,0,0,3001000000,116000000000,6001000000,122000000000,56000,1463000,12,0,3.0,0.64,0.15,0.09,Apr-19,14:47:39,node33-020.cm.cluster,19-04-2023,14:47:39
l:20,22,19,59,0,0,0,0,95000,22976,3584,0,0,0,3001000000,116000000000,6001000000,122000000000,55000,1398000,12,0,0,0.64,0.15,0.09,Apr-19,14:47:40,node33-020.cm.cluster,19-04-2023,14:47:40
l:21,22,19,59,0,0,0,0,139000,31424,3584,0,0,0,3001000000,116000000000,6001000000,122000000000,54000,1371000,12,0,3.0,0.64,0.15,0.09,Apr-19,14:47:41,node33-020.cm.cluster,19-04-2023,14:47:41
l:22,22,20,58,0,0,0,69000000,77000,22976,3584,0,0,0,3001000000,116000000000,6001000000,122000000000,54000,1371000,40,0,3.0,0.64,0.15,0.09,Apr-19,14:47:42,node33-020.cm.cluster,19-04-2023,14:47:42
l:23,21,21,57,0,0,0,0,103000,22976,3584,0,0,0,3000000000,116000000000,6001000000,122000000000,58000,1525000,33,0,3.0,1.55,0.34,0.15,Apr-19,14:47:43,node33-020.cm.cluster,19-04-2023,14:47:43
l:24,22,20,58,0,0,0,0,119000,22976,3584,0,0,0,3000000000,116000000000,6001000000,122000000000,57000,1467000,35,0,3.0,1.55,0.34,0.15,Apr-19,14:47:44,node33-020.cm.cluster,19-04-2023,14:47:44
l:25,1,2,98,0,0,0,0,173000,88000,3584,0,0,0,2470000000,117000000000,5993000000,123000000000,5463,66000,0,0,3.0,1.55,0.34,0.15,Apr-19,14:47:45,node33-020.cm.cluster,19-04-2023,14:47:45
l:26,0,0,100,0,0,0,0,133000,22976,3584,0,0,0,2470000000,117000000000,5993000000,123000000000,297,246,0,0,3.0,1.55,0.34,0.15,Apr-19,14:47:46,node33-020.cm.cluster,19-04-2023,14:47:46
l:27,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,301,298,0,0,3.0,1.55,0.34,0.15,Apr-19,14:47:47,node33-020.cm.cluster,19-04-2023,14:47:47
l:28,0,0,100,0,0,0,0,133000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,253,211,0,0,3.0,1.43,0.34,0.15,Apr-19,14:47:48,node33-020.cm.cluster,19-04-2023,14:47:48
l:29,0,0,100,0,0,0,0,137000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,257,216,0,0,3.0,1.43,0.34,0.15,Apr-19,14:47:49,node33-020.cm.cluster,19-04-2023,14:47:49
l:30,0,0,100,0,0,0,0,110000,25664,0,0,0,0,2470000000,117000000000,5993000000,123000000000,219,190,0,0,0,1.43,0.34,0.15,Apr-19,14:47:50,node33-020.cm.cluster,19-04-2023,14:47:50
l:31,0,0,100,0,0,0,655000,141000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,330,339,0,0,4.0,1.43,0.34,0.15,Apr-19,14:47:51,node33-020.cm.cluster,19-04-2023,14:47:51
l:32,0,0,100,0,0,0,0,114000,22976,27840,0,0,0,2470000000,117000000000,5993000000,123000000000,257,224,0,0,3.0,1.43,0.34,0.15,Apr-19,14:47:52,node33-020.cm.cluster,19-04-2023,14:47:52
l:33,0,0,100,0,0,0,0,142000,22976,20992,0,0,0,2470000000,117000000000,5993000000,123000000000,296,240,0,0,3.0,1.31,0.33,0.15,Apr-19,14:47:53,node33-020.cm.cluster,19-04-2023,14:47:53
l:34,0,0,100,0,0,0,0,65000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,166,156,0,0,3.0,1.31,0.33,0.15,Apr-19,14:47:54,node33-020.cm.cluster,19-04-2023,14:47:54
l:35,0,0,100,0,0,0,0,123000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,261,280,0,0,0,1.31,0.33,0.15,Apr-19,14:47:55,node33-020.cm.cluster,19-04-2023,14:47:55
l:36,0,0,100,0,0,0,721000,124000,31424,27840,0,0,0,2470000000,117000000000,5993000000,123000000000,298,253,0,0,3.0,1.31,0.33,0.15,Apr-19,14:47:56,node33-020.cm.cluster,19-04-2023,14:47:56
l:37,0,0,100,0,0,0,7373000,92000,38592,0,0,0,0,2470000000,117000000000,5993000000,123000000000,280,307,0,0,3.0,1.31,0.33,0.15,Apr-19,14:47:57,node33-020.cm.cluster,19-04-2023,14:47:57
l:38,0,0,100,0,0,0,0,109000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,252,248,0,0,3.0,1.21,0.33,0.15,Apr-19,14:47:58,node33-020.cm.cluster,19-04-2023,14:47:58
l:39,0,0,100,0,0,0,0,102000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,286,322,0,0,3.0,1.21,0.33,0.15,Apr-19,14:47:59,node33-020.cm.cluster,19-04-2023,14:47:59
l:40,0,0,100,0,0,0,0,98000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,193,197,0,0,0,1.21,0.33,0.15,Apr-19,14:48:00,node33-020.cm.cluster,19-04-2023,14:48:00
l:41,0,0,100,0,0,0,0,128000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,266,248,0,0,3.0,1.21,0.33,0.15,Apr-19,14:48:01,node33-020.cm.cluster,19-04-2023,14:48:01
l:42,0,0,100,0,0,0,0,60000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,172,187,0,0,3.0,1.21,0.33,0.15,Apr-19,14:48:02,node33-020.cm.cluster,19-04-2023,14:48:02
l:43,0,0,100,0,0,0,0,93000,45504,0,0,0,0,2470000000,117000000000,5993000000,123000000000,269,298,0,0,3.0,1.11,0.32,0.15,Apr-19,14:48:03,node33-020.cm.cluster,19-04-2023,14:48:03
l:44,0,0,100,0,0,0,0,128000,22976,27840,0,0,0,2470000000,117000000000,5993000000,123000000000,262,240,0,0,3.0,1.11,0.32,0.15,Apr-19,14:48:04,node33-020.cm.cluster,19-04-2023,14:48:04
l:45,0,0,100,0,0,0,0,71000,22976,0,0,0,0,2470000000,117000000000,5993000000,123000000000,194,216,0,0,0,1.11,0.32,0.15,Apr-19,14:48:05,node33-020.cm.cluster,19-04-2023,14:48:05
l:46,0,0,100,0,0,0,0,73000,27200,0,0,0,0,2470000000,117000000000,5993000000,123000000000,203,217,0,0,3.0,1.11,0.32,0.15,Apr-19,14:48:06,node33-020.cm.cluster,19-04-2023,14:48:06
