l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-018.cm.cluster,09-04-2023,02:36:50
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-018.cm.cluster,09-04-2023,02:36:50
l:2,45,0,54,0,0,3032000,1129000,0,0,0,0,1976,10600,2631000000,95400000000.0,27000000000.0,122000000000,4126,1863,0,0,2.6,36.9,39.3,39.8,Apr-09,02:36:50,node27-018.cm.cluster,09-04-2023,02:36:50
l:3,0,0,100,0,0,0,0,126000,10000,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,356,308,0,0,3.0,36.9,39.3,39.8,Apr-09,02:36:51,node27-018.cm.cluster,09-04-2023,02:36:51
l:4,0,0,100,0,0,0,0,108000,27200,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,278,248,0,0,3.0,36.9,39.3,39.8,Apr-09,02:36:52,node27-018.cm.cluster,09-04-2023,02:36:52
l:5,0,0,100,0,0,0,0,100000,27200,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,213,169,0,0,3.0,36.9,39.3,39.8,Apr-09,02:36:53,node27-018.cm.cluster,09-04-2023,02:36:53
l:6,0,0,100,0,0,0,0,123000,22976,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,285,213,0,0,3.0,33.9,38.7,39.6,Apr-09,02:36:54,node27-018.cm.cluster,09-04-2023,02:36:54
l:7,0,0,100,0,0,0,0,114000,22976,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,305,272,0,0,0,33.9,38.7,39.6,Apr-09,02:36:55,node27-018.cm.cluster,09-04-2023,02:36:55
l:8,0,0,100,0,0,0,0,69000,22976,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,178,128,0,0,3.0,33.9,38.7,39.6,Apr-09,02:36:56,node27-018.cm.cluster,09-04-2023,02:36:56
l:9,0,0,100,0,0,0,0,102000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,226,182,0,0,3.0,33.9,38.7,39.6,Apr-09,02:36:57,node27-018.cm.cluster,09-04-2023,02:36:57
l:10,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,243,188,0,0,3.0,33.9,38.7,39.6,Apr-09,02:36:58,node27-018.cm.cluster,09-04-2023,02:36:58
l:11,0,0,100,0,0,0,0,76000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,245,216,0,0,3.0,31.2,38.0,39.4,Apr-09,02:36:59,node27-018.cm.cluster,09-04-2023,02:36:59
l:12,0,0,100,0,0,0,0,107000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,210,170,0,0,0,31.2,38.0,39.4,Apr-09,02:37:00,node27-018.cm.cluster,09-04-2023,02:37:00
l:13,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,242,194,0,0,3.0,31.2,38.0,39.4,Apr-09,02:37:01,node27-018.cm.cluster,09-04-2023,02:37:01
l:14,0,0,100,0,0,0,0,110000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,242,191,0,0,3.0,31.2,38.0,39.4,Apr-09,02:37:02,node27-018.cm.cluster,09-04-2023,02:37:02
l:15,0,0,100,0,0,0,360000,95000,22976,20992,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,269,246,0,0,4.0,31.2,38.0,39.4,Apr-09,02:37:03,node27-018.cm.cluster,09-04-2023,02:37:03
l:16,0,0,100,0,0,0,0,112000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,230,181,0,0,3.0,28.7,37.4,39.1,Apr-09,02:37:04,node27-018.cm.cluster,09-04-2023,02:37:04
l:17,0,0,100,0,0,0,0,128000,22976,0,0,0,0,2630000000,95400000000.0,27000000000.0,122000000000,231,184,0,0,0,28.7,37.4,39.1,Apr-09,02:37:05,node27-018.cm.cluster,09-04-2023,02:37:05
l:18,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2629000000,95400000000.0,27000000000.0,122000000000,236,178,0,0,3.0,28.7,37.4,39.1,Apr-09,02:37:06,node27-018.cm.cluster,09-04-2023,02:37:06
l:19,0,0,99,0,0,0,0,110000,189000,0,0,0,0,2631000000,95400000000.0,27000000000.0,122000000000,1942,3168,3.0,0,3.0,28.7,37.4,39.1,Apr-09,02:37:07,node27-018.cm.cluster,09-04-2023,02:37:07
l:20,0,0,100,0,0,0,0,152000,22976,0,0,0,0,2629000000,95400000000.0,27000000000.0,122000000000,1104,2950,0,0,3.0,28.7,37.4,39.1,Apr-09,02:37:08,node27-018.cm.cluster,09-04-2023,02:37:08
l:21,0,0,100,0,0,0,0,76000,22976,0,0,0,0,2629000000,95400000000.0,27000000000.0,122000000000,163,140,0,0,3.0,26.4,36.8,38.9,Apr-09,02:37:09,node27-018.cm.cluster,09-04-2023,02:37:09
l:22,1,1,98,0,0,0,131000,575000,194000,0,0,0,0,2671000000,95300000000.0,27000000000.0,122000000000,15000,33000,2.0,0,64,26.4,36.8,38.9,Apr-09,02:37:10,node27-018.cm.cluster,09-04-2023,02:37:10
l:23,8,15,77,0,0,0,0,2022000,1953000,0,0,0,0,19300000000.0,78300000000.0,27400000000.0,106000000000,61000,106000,17,0,4.0,26.4,36.8,38.9,Apr-09,02:37:11,node27-018.cm.cluster,09-04-2023,02:37:11
l:24,0,28,57,15,0,0,0,1383000,638000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,21000,21000,0,17,4.0,26.4,36.8,38.9,Apr-09,02:37:12,node27-018.cm.cluster,09-04-2023,02:37:12
l:25,0,0,57,42,0,0,0,1941000,984000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8811,6733,0,17,3.0,26.4,36.8,38.9,Apr-09,02:37:13,node27-018.cm.cluster,09-04-2023,02:37:13
l:26,0,0,62,38,0,0,33000,1872000,985000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8727,6911,0,17,3.0,25.7,36.5,38.8,Apr-09,02:37:14,node27-018.cm.cluster,09-04-2023,02:37:14
l:27,0,0,65,35,0,0,0,1844000,985000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8682,6639,0,17,0,25.7,36.5,38.8,Apr-09,02:37:15,node27-018.cm.cluster,09-04-2023,02:37:15
l:28,0,0,65,35,0,0,0,1832000,984000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8591,6233,0,17,3.0,25.7,36.5,38.8,Apr-09,02:37:16,node27-018.cm.cluster,09-04-2023,02:37:16
l:29,0,0,65,35,0,0,0,1843000,985000000,0,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8588,6678,0,17,3.0,25.7,36.5,38.8,Apr-09,02:37:17,node27-018.cm.cluster,09-04-2023,02:37:17
l:30,0,0,65,35,0,0,2425000,1662000,984000000,3584,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8350,6773,0,17,3.0,25.7,36.5,38.8,Apr-09,02:37:18,node27-018.cm.cluster,09-04-2023,02:37:18
l:31,0,0,65,35,0,0,557000,1629000,984000000,3584,0,0,0,19500000000.0,69900000000.0,35500000000.0,105000000000,8307,6473,0,17,3.0,25.0,36.1,38.7,Apr-09,02:37:19,node27-018.cm.cluster,09-04-2023,02:37:19
