l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-002.cm.cluster,12-04-2023,15:25:02
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-002.cm.cluster,12-04-2023,15:25:02
l:2,36,1,63,0,0,2110000,3800000,0,0,0,0,440,3048,2601000000,118000000000,5080000000,122000000000,7680,16000,0,0,2.5,11.9,15.8,16.7,Apr-12,15:25:02,node27-002.cm.cluster,12-04-2023,15:25:02
l:3,0,0,100,0,0,66000,0,138000,22000,0,0,0,0,2601000000,118000000000,5080000000,122000000000,311,282,0,0,3.0,11.9,15.8,16.7,Apr-12,15:25:03,node27-002.cm.cluster,12-04-2023,15:25:03
l:4,0,0,100,0,0,0,0,102000,4224,0,0,0,0,2600000000,118000000000,5081000000,122000000000,248,254,0,0,3.0,11.0,15.5,16.6,Apr-12,15:25:04,node27-002.cm.cluster,12-04-2023,15:25:04
l:5,0,0,100,0,0,0,0,149000,4224,0,0,0,0,2601000000,118000000000,5081000000,122000000000,274,249,0,0,0,11.0,15.5,16.6,Apr-12,15:25:05,node27-002.cm.cluster,12-04-2023,15:25:05
l:6,0,0,100,0,0,0,0,104000,39552,0,0,0,0,2601000000,118000000000,5080000000,122000000000,290,295,0,0,3.0,11.0,15.5,16.6,Apr-12,15:25:06,node27-002.cm.cluster,12-04-2023,15:25:06
l:7,0,0,100,0,0,0,0,126000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,298,236,0,0,3.0,11.0,15.5,16.6,Apr-12,15:25:07,node27-002.cm.cluster,12-04-2023,15:25:07
l:8,0,0,100,0,0,0,0,94000,8448,0,0,0,0,2601000000,118000000000,5080000000,122000000000,235,200,0,0,3.0,11.0,15.5,16.6,Apr-12,15:25:08,node27-002.cm.cluster,12-04-2023,15:25:08
l:9,0,0,100,0,0,0,33000,131000,8448,20992,0,0,0,2601000000,118000000000,5080000000,122000000000,317,273,0,0,3.0,10.1,15.3,16.5,Apr-12,15:25:09,node27-002.cm.cluster,12-04-2023,15:25:09
l:10,0,0,100,0,0,0,0,97000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,240,274,0,0,0,10.1,15.3,16.5,Apr-12,15:25:10,node27-002.cm.cluster,12-04-2023,15:25:10
l:11,0,0,100,0,0,0,0,78000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,196,178,0,0,3.0,10.1,15.3,16.5,Apr-12,15:25:11,node27-002.cm.cluster,12-04-2023,15:25:11
l:12,0,0,100,0,0,0,0,149000,39552,0,0,0,0,2601000000,118000000000,5080000000,122000000000,294,266,0,0,3.0,10.1,15.3,16.5,Apr-12,15:25:12,node27-002.cm.cluster,12-04-2023,15:25:12
l:13,0,0,100,0,0,0,0,94000,19456,0,14592,0,0,2601000000,118000000000,5080000000,122000000000,298,263,0,0,3.0,10.1,15.3,16.5,Apr-12,15:25:13,node27-002.cm.cluster,12-04-2023,15:25:13
l:14,0,0,100,0,0,0,12000000,89000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,351,456,0,0,4.0,9.30,15.0,16.4,Apr-12,15:25:14,node27-002.cm.cluster,12-04-2023,15:25:14
l:15,0,0,100,0,0,0,0,134000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,305,283,0,0,0,9.30,15.0,16.4,Apr-12,15:25:15,node27-002.cm.cluster,12-04-2023,15:25:15
l:16,0,0,100,0,0,0,594000,120000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,364,370,0,0,3.0,9.30,15.0,16.4,Apr-12,15:25:16,node27-002.cm.cluster,12-04-2023,15:25:16
l:17,0,0,100,0,0,0,0,113000,4224,0,0,0,0,2601000000,118000000000,5080000000,122000000000,333,356,0,0,3.0,9.30,15.0,16.4,Apr-12,15:25:17,node27-002.cm.cluster,12-04-2023,15:25:17
l:18,0,0,100,0,0,0,274000,98000,4224,0,0,0,0,2601000000,118000000000,5081000000,122000000000,335,402,0,0,3.0,9.30,15.0,16.4,Apr-12,15:25:18,node27-002.cm.cluster,12-04-2023,15:25:18
l:19,0,0,100,0,0,0,0,144000,4224,0,0,0,0,2601000000,118000000000,5081000000,122000000000,327,319,0,0,3.0,8.55,14.8,16.4,Apr-12,15:25:19,node27-002.cm.cluster,12-04-2023,15:25:19
l:20,0,0,100,0,0,0,0,107000,4224,0,0,0,0,2601000000,118000000000,5081000000,122000000000,239,270,0,0,0,8.55,14.8,16.4,Apr-12,15:25:20,node27-002.cm.cluster,12-04-2023,15:25:20
l:21,0,0,100,0,0,0,0,69000,4224,0,0,0,0,2601000000,118000000000,5081000000,122000000000,242,277,0,0,3.0,8.55,14.8,16.4,Apr-12,15:25:21,node27-002.cm.cluster,12-04-2023,15:25:21
l:22,0,0,99,0,0,0,0,432000,439000,0,0,0,0,2618000000,118000000000,5081000000,122000000000,1167,1695,0,0,16,8.55,14.8,16.4,Apr-12,15:25:22,node27-002.cm.cluster,12-04-2023,15:25:22
l:23,3,4,80,13,0,0,754000,165000000,20000000,92000,106000,0,0,4154000000,116000000000,5206000000,121000000000,16000,33000,0,1.0,49,8.55,14.8,16.4,Apr-12,15:25:23,node27-002.cm.cluster,12-04-2023,15:25:23
l:24,0,0,97,2,0,0,0,1208000,892000000,0,0,0,0,4157000000,116000000000,5308000000,121000000000,6399,9389,0,1.0,4.0,7.95,14.5,16.3,Apr-12,15:25:24,node27-002.cm.cluster,12-04-2023,15:25:24
l:25,0,0,97,2,0,0,0,18000000,918000000,0,0,0,0,4157000000,116000000000,5408000000,121000000000,15000,9498,0,1.0,0,7.95,14.5,16.3,Apr-12,15:25:25,node27-002.cm.cluster,12-04-2023,15:25:25
l:26,0,0,97,2,0,0,0,17000000,883000000,0,0,0,0,4157000000,116000000000,5509000000,121000000000,14000,9158,1.0,1.0,3.0,7.95,14.5,16.3,Apr-12,15:25:26,node27-002.cm.cluster,12-04-2023,15:25:26
l:27,0,0,97,2,0,0,0,16000000,923000000,0,0,0,0,4156000000,116000000000,5608000000,121000000000,16000,6468,0,1.0,3.0,7.95,14.5,16.3,Apr-12,15:25:27,node27-002.cm.cluster,12-04-2023,15:25:27
l:28,0,0,97,2,0,0,0,855000,893000000,0,0,0,0,4156000000,116000000000,5708000000,121000000000,7657,8586,0,1.0,3.0,7.95,14.5,16.3,Apr-12,15:25:28,node27-002.cm.cluster,12-04-2023,15:25:28
