l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node24-014.cm.cluster,14-04-2023,05:42:20
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node24-014.cm.cluster,14-04-2023,05:42:20
l:2,49,1,51,0,0,528000,1333000,0,0,0,0,8,208,2656000000,99500000000,23000000000,122000000000,5656,3357,0,0,3,4,5,6,Apr-14,05:42:20,node24-014.cm.cluster,14-04-2023,05:42:20
l:3,0,0,100,0,0,66000,0,239000,34000,0,0,0,0,2657000000,99500000000,23000000000,122000000000,411,374,0,0,3,4,5,6,Apr-14,05:42:21,node24-014.cm.cluster,14-04-2023,05:42:21
l:4,0,0,100,0,0,0,950000,113000,15360,0,0,0,0,2658000000,99500000000,23000000000,122000000000,277,254,0,0,3,4,5,6,Apr-14,05:42:22,node24-014.cm.cluster,14-04-2023,05:42:22
l:5,0,0,100,0,0,0,0,170000,12672,20992,0,0,0,2658000000,99500000000,23000000000,122000000000,384,349,0,0,0,3,5,6,Apr-14,05:42:23,node24-014.cm.cluster,14-04-2023,05:42:23
l:6,0,0,100,0,0,0,12000000,126000,79104,0,0,0,0,2659000000,99500000000,23000000000,122000000000,408,397,0,0,3,3,5,6,Apr-14,05:42:24,node24-014.cm.cluster,14-04-2023,05:42:24
l:7,0,0,100,0,0,0,0,144000,69000,0,0,0,0,2659000000,99500000000,23000000000,122000000000,325,315,0,0,3,3,5,6,Apr-14,05:42:25,node24-014.cm.cluster,14-04-2023,05:42:25
l:8,0,0,100,0,0,0,0,160000,12672,0,0,0,0,2659000000,99500000000,23000000000,122000000000,328,309,0,0,3,3,5,6,Apr-14,05:42:26,node24-014.cm.cluster,14-04-2023,05:42:26
l:9,0,0,100,0,0,0,0,56000,12672,0,0,0,0,2659000000,99500000000,23000000000,122000000000,248,282,0,0,3,3,5,6,Apr-14,05:42:27,node24-014.cm.cluster,14-04-2023,05:42:27
l:10,0,0,100,0,0,0,0,153000,61440,0,0,0,0,2659000000,99500000000,23000000000,122000000000,348,323,0,0,0,3,5,6,Apr-14,05:42:28,node24-014.cm.cluster,14-04-2023,05:42:28
l:11,0,0,100,0,0,0,0,134000,30336,0,0,0,0,2659000000,99500000000,23000000000,122000000000,317,296,0,0,3,3,5,6,Apr-14,05:42:29,node24-014.cm.cluster,14-04-2023,05:42:29
