l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node28-001.cm.cluster,14-04-2023,15:36:29
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node28-001.cm.cluster,14-04-2023,15:36:29
l:2,38,5,57,0,0,8993000,3291000,0,0,0,0,0,24,2684000000,102000000000,0,122000000000,5011,18000,0,0,3,16,18,18,Apr-14,15:36:29,0,14-04-2023,15:36:29
l:3,0,0,100,0,0,0,98000,250000,49000,0,0,0,0,2686000000,102000000000,0,122000000000,458,442,0,0,3,16,18,18,Apr-14,15:36:30,0,14-04-2023,15:36:30
l:4,0,0,100,0,0,0,0,128000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,344,371,0,0,3,16,18,18,Apr-14,15:36:31,0,14-04-2023,15:36:31
l:5,0,0,100,0,0,0,0,112000,35200,0,0,0,0,2686000000,102000000000,0,122000000000,230,212,0,0,0,16,18,18,Apr-14,15:36:32,0,14-04-2023,15:36:32
l:6,0,0,100,0,0,0,721000,139000,79104,0,0,0,0,2686000000,102000000000,0,122000000000,309,279,0,0,4,15,18,18,Apr-14,15:36:33,0,14-04-2023,15:36:33
l:7,0,0,100,0,0,0,0,143000,74000,0,0,0,0,2686000000,102000000000,0,122000000000,305,283,0,0,3,15,18,18,Apr-14,15:36:34,0,14-04-2023,15:36:34
l:8,0,0,100,0,0,0,0,108000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,290,310,0,0,3,15,18,18,Apr-14,15:36:35,0,14-04-2023,15:36:35
l:9,0,0,100,0,0,0,0,111000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,237,218,0,0,3,15,18,18,Apr-14,15:36:36,0,14-04-2023,15:36:36
l:10,0,0,100,0,0,0,0,122000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,258,227,0,0,0,15,18,18,Apr-14,15:36:37,0,14-04-2023,15:36:37
l:11,0,0,100,0,0,0,0,145000,79104,0,0,0,0,2686000000,102000000000,0,122000000000,304,261,0,0,3,13,17,18,Apr-14,15:36:38,0,14-04-2023,15:36:38
l:12,0,0,100,0,0,0,0,112000,109000,0,0,0,0,2686000000,102000000000,0,122000000000,273,306,0,0,3,13,17,18,Apr-14,15:36:39,0,14-04-2023,15:36:39
l:13,0,0,100,0,0,0,0,141000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,273,242,0,0,3,13,17,18,Apr-14,15:36:40,0,14-04-2023,15:36:40
l:14,0,0,100,0,0,0,0,131000,12672,0,0,0,0,2687000000,102000000000,0,122000000000,282,258,0,0,3,13,17,18,Apr-14,15:36:41,0,14-04-2023,15:36:41
l:15,0,0,100,0,0,0,98000,103000,12672,0,0,0,0,2687000000,102000000000,0,122000000000,214,211,0,0,0,13,17,18,Apr-14,15:36:42,0,14-04-2023,15:36:42
l:16,0,0,99,0,0,0,0,135000,198000,0,0,0,0,2687000000,102000000000,0,122000000000,2594,3668,0,0,3,12,17,18,Apr-14,15:36:43,0,14-04-2023,15:36:43
l:17,0,0,100,0,0,0,0,121000,142000,0,0,0,0,2686000000,102000000000,0,122000000000,1135,3218,0,0,3,12,17,18,Apr-14,15:36:44,0,14-04-2023,15:36:44
l:18,0,0,100,0,0,0,0,122000,12672,0,0,0,0,2685000000,102000000000,0,122000000000,374,457,0,0,3,12,17,18,Apr-14,15:36:45,0,14-04-2023,15:36:45
l:19,0,0,100,0,0,0,0,94000,12672,0,0,0,0,2685000000,102000000000,0,122000000000,317,402,0,0,3,12,17,18,Apr-14,15:36:46,0,14-04-2023,15:36:46
l:20,0,0,100,0,0,0,131000,103000,12672,0,0,0,0,2686000000,102000000000,0,122000000000,373,504,0,0,1,12,17,18,Apr-14,15:36:47,0,14-04-2023,15:36:47
l:21,0,0,100,0,0,0,0,112000,79104,0,0,0,0,2686000000,102000000000,0,122000000000,359,429,0,0,3,11,17,18,Apr-14,15:36:48,0,14-04-2023,15:36:48
l:22,0,0,99,0,0,0,0,804000,1141000,0,0,0,0,2702000000,102000000000,0,122000000000,1398,1844,0,0,18,11,17,18,Apr-14,15:36:49,0,14-04-2023,15:36:49
l:23,7,13,80,1,0,0,0,132000000,3386000,0,0,0,0,0,0,0,112000000000,33000,50000,2,0,66,11,17,18,Apr-14,15:36:50,0,14-04-2023,15:36:50
l:24,0,2,98,0,0,0,0,95000,26000,0,0,0,0,0,0,0,112000000000,56000,36000,0,0,3,11,17,18,Apr-14,15:36:51,0,14-04-2023,15:36:51
l:25,0,2,98,0,0,0,0,96000,12672,0,0,0,0,0,0,0,112000000000,52000,34000,1,0,0,11,17,18,Apr-14,15:36:52,0,14-04-2023,15:36:52
l:26,0,2,98,0,0,0,0,100000,79104,0,0,0,0,0,0,0,112000000000,54000,34000,2,0,3,10,16,18,Apr-14,15:36:53,0,14-04-2023,15:36:53
l:27,0,2,98,0,0,0,0,122000,94000,0,0,0,0,0,0,0,112000000000,54000,38000,0,0,3,10,16,18,Apr-14,15:36:54,0,14-04-2023,15:36:54
l:28,0,2,98,0,0,0,66000,94000,12672,0,0,0,0,0,0,0,112000000000,53000,34000,1,0,3,10,16,18,Apr-14,15:36:55,0,14-04-2023,15:36:55
l:29,0,2,98,0,0,0,0,98000,12672,0,0,0,0,0,0,0,112000000000,52000,33000,0,0,3,10,16,18,Apr-14,15:36:56,0,14-04-2023,15:36:56
l:30,0,2,98,0,0,0,623000,136000,12672,0,0,0,0,0,0,0,112000000000,54000,35000,0,0,0,10,16,18,Apr-14,15:36:57,0,14-04-2023,15:36:57
l:31,0,2,98,0,0,0,0,160000,11000,0,0,0,0,0,0,0,112000000000,54000,37000,1,0,3,10,16,18,Apr-14,15:36:58,0,14-04-2023,15:36:58
l:32,0,2,98,0,0,0,0,135000,132000,0,0,0,0,0,0,0,112000000000,54000,35000,1,0,5,10,16,18,Apr-14,15:36:59,0,14-04-2023,15:36:59
l:33,1,5,93,0,0,0,1343000,122000,12672,0,0,0,0,0,0,0,112000000000,55000,34000,4,0,3,10,16,18,Apr-14,15:37:00,0,14-04-2023,15:37:00
l:34,3,11,86,0,0,0,0,141000,12672,0,0,0,0,0,0,0,112000000000,60000,36000,6,0,3,10,16,18,Apr-14,15:37:01,0,14-04-2023,15:37:01
l:35,4,12,84,0,0,0,0,139000,16896,0,0,0,0,0,0,0,112000000000,61000,39000,9,0,0,10,16,18,Apr-14,15:37:02,0,14-04-2023,15:37:02
l:36,9,27,64,0,0,524000,16000000,207000,97000,0,0,0,0,0,0,0,112000000000,59000,30000,20,0,3,9,16,18,Apr-14,15:37:03,0,14-04-2023,15:37:03
l:37,0,3,97,0,0,0,164000,313000,310000,0,0,0,0,0,0,0,112000000000,52000,89000,1,0,3,9,16,18,Apr-14,15:37:04,0,14-04-2023,15:37:04
l:38,0,2,98,0,0,0,0,110000,12672,0,0,0,0,0,0,0,112000000000,51000,90000,2,0,3,9,16,18,Apr-14,15:37:05,0,14-04-2023,15:37:05
l:39,0,2,98,0,0,0,0,112000,12672,0,0,0,0,0,0,0,112000000000,52000,93000,0,0,3,9,16,18,Apr-14,15:37:06,0,14-04-2023,15:37:06
l:40,0,2,98,0,0,0,0,101000,35200,0,0,0,0,0,0,0,112000000000,53000,91000,1,0,0,9,16,18,Apr-14,15:37:07,0,14-04-2023,15:37:07
l:41,0,2,98,0,0,0,0,112000,79104,0,0,0,0,0,0,0,112000000000,54000,91000,2,0,3,9,16,18,Apr-14,15:37:08,0,14-04-2023,15:37:08
l:42,0,2,98,0,0,0,0,140000,181000,0,0,0,0,0,0,0,112000000000,54000,91000,1,0,5,9,16,18,Apr-14,15:37:09,0,14-04-2023,15:37:09
l:43,0,2,98,0,0,0,0,85000,28288,0,0,0,0,0,0,0,112000000000,54000,92000,1,0,3,9,16,18,Apr-14,15:37:10,0,14-04-2023,15:37:10
l:44,0,2,98,0,0,0,0,113000,12672,0,0,0,0,0,0,0,112000000000,52000,90000,2,0,3,9,16,18,Apr-14,15:37:11,0,14-04-2023,15:37:11
l:45,0,2,98,0,0,0,852000,112000,12672,0,0,0,0,0,0,0,112000000000,52000,91000,0,0,0,9,16,18,Apr-14,15:37:12,0,14-04-2023,15:37:12
l:46,0,2,98,0,0,0,0,92000,10000,0,0,0,0,0,0,0,112000000000,53000,92000,1,0,3,8,16,17,Apr-14,15:37:13,0,14-04-2023,15:37:13
l:47,2,7,92,0,0,0,0,141000,86000,0,0,0,0,0,0,0,112000000000,54000,89000,7,0,3,8,16,17,Apr-14,15:37:14,0,14-04-2023,15:37:14
l:48,3,12,85,0,0,0,0,135000,21120,0,0,0,0,0,0,0,112000000000,74000,112000,7,0,3,8,16,17,Apr-14,15:37:15,0,14-04-2023,15:37:15
l:49,8,26,66,0,0,0,131000,122000,21000,0,0,0,0,0,0,0,112000000000,75000,84000,20,0,3,8,16,17,Apr-14,15:37:16,0,14-04-2023,15:37:16
l:50,1,3,96,0,0,0,786000,562000,449000,0,0,0,0,2746000000,102000000000,0,122000000000,4729,2656,0,0,1,8,16,17,Apr-14,15:37:17,0,14-04-2023,15:37:17
l:51,0,0,100,0,0,0,0,127000,79104,0,0,0,0,2745000000,102000000000,0,122000000000,403,503,0,0,3,7,15,17,Apr-14,15:37:18,0,14-04-2023,15:37:18
l:52,0,0,100,0,0,0,0,83000,112000,0,0,0,0,2746000000,102000000000,0,122000000000,448,588,0,0,5,7,15,17,Apr-14,15:37:19,0,14-04-2023,15:37:19
l:53,0,0,100,0,0,0,0,151000,12672,0,0,0,0,2746000000,102000000000,0,122000000000,422,508,0,0,3,7,15,17,Apr-14,15:37:20,0,14-04-2023,15:37:20
l:54,0,0,100,0,0,0,0,127000,12672,0,0,0,0,2746000000,102000000000,0,122000000000,422,522,0,0,3,7,15,17,Apr-14,15:37:21,0,14-04-2023,15:37:21
l:55,0,0,100,0,0,0,0,99000,12672,0,0,0,0,2746000000,102000000000,0,122000000000,302,412,0,0,0,7,15,17,Apr-14,15:37:22,0,14-04-2023,15:37:22
l:56,0,0,100,0,0,0,0,155000,79104,3584,0,0,0,2745000000,102000000000,0,122000000000,503,614,0,0,3,7,15,17,Apr-14,15:37:23,0,14-04-2023,15:37:23
l:57,0,0,100,0,0,0,0,121000,146000,3584,0,0,0,2745000000,102000000000,0,122000000000,383,477,0,0,3,7,15,17,Apr-14,15:37:24,0,14-04-2023,15:37:24
l:58,0,0,100,0,0,0,66000,104000,12672,3584,0,0,0,2745000000,102000000000,0,122000000000,412,495,0,0,3,7,15,17,Apr-14,15:37:25,0,14-04-2023,15:37:25
l:59,0,0,100,0,0,0,0,113000,12672,3584,0,0,0,2745000000,102000000000,0,122000000000,382,463,0,0,3,7,15,17,Apr-14,15:37:26,0,14-04-2023,15:37:26
l:60,0,0,100,0,0,0,0,132000,27968,3584,14656,0,0,2745000000,102000000000,0,122000000000,467,584,0,0,0,7,15,17,Apr-14,15:37:27,0,14-04-2023,15:37:27
l:61,0,0,100,0,0,0,66000,149000,10000,3584,0,0,0,2745000000,102000000000,0,122000000000,455,538,0,0,3,6,15,17,Apr-14,15:37:28,0,14-04-2023,15:37:28
l:62,0,0,100,0,0,0,0,93000,181000,3584,0,0,0,2745000000,102000000000,0,122000000000,394,496,0,0,3,6,15,17,Apr-14,15:37:29,0,14-04-2023,15:37:29
l:63,0,0,100,0,0,0,0,118000,12672,3584,0,0,0,2745000000,102000000000,0,122000000000,395,476,0,0,3,6,15,17,Apr-14,15:37:30,0,14-04-2023,15:37:30
l:64,0,0,100,0,0,0,0,149000,12672,3584,0,0,0,2748000000,102000000000,0,122000000000,500,614,0,0,3,6,15,17,Apr-14,15:37:31,0,14-04-2023,15:37:31
l:65,0,0,100,0,0,0,0,75000,12672,0,0,0,0,2748000000,102000000000,0,122000000000,283,399,0,0,0,6,15,17,Apr-14,15:37:32,0,14-04-2023,15:37:32
l:66,0,0,100,0,0,0,66000,122000,79104,0,0,0,0,2748000000,102000000000,0,122000000000,416,514,0,0,3,6,14,17,Apr-14,15:37:33,0,14-04-2023,15:37:33
l:67,0,0,100,0,0,0,0,151000,79000,0,0,0,0,2748000000,102000000000,0,122000000000,445,524,0,0,3,6,14,17,Apr-14,15:37:34,0,14-04-2023,15:37:34
