l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-012.cm.cluster,16-04-2023,14:10:24
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-012.cm.cluster,16-04-2023,14:10:24
l:2,38,5,57,0,0,9999000,3769000,0,0,0,0,0,56,2597000000,68900000000,53700000000,122000000000,4188,3695,0,0,3,0,2,3,Apr-16,14:10:24,node27-012.cm.cluster,16-04-2023,14:10:24
l:3,0,0,100,0,0,0,0,100000,10000,0,0,0,0,2598000000,68900000000,53700000000,122000000000,322,353,0,0,3,0,2,3,Apr-16,14:10:25,node27-012.cm.cluster,16-04-2023,14:10:26
l:4,0,0,100,0,0,0,33000,100000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,209,199,0,0,0,0,2,3,Apr-16,14:10:26,node27-012.cm.cluster,16-04-2023,14:10:27
l:5,0,0,100,0,0,0,0,148000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,337,289,0,0,3,0,2,3,Apr-16,14:10:27,node27-012.cm.cluster,16-04-2023,14:10:28
l:6,0,0,100,0,0,0,492000,110000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,277,242,0,0,3,0,2,3,Apr-16,14:10:28,node27-012.cm.cluster,16-04-2023,14:10:29
l:7,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,297,295,0,0,3,0,2,3,Apr-16,14:10:29,node27-012.cm.cluster,16-04-2023,14:10:30
l:8,0,0,100,0,0,0,0,134000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,304,260,0,0,3,0,2,3,Apr-16,14:10:30,node27-012.cm.cluster,16-04-2023,14:10:31
l:9,0,0,100,0,0,0,66000,106000,28736,0,0,0,0,2598000000,68900000000,53700000000,122000000000,254,241,0,0,1,0,2,3,Apr-16,14:10:31,node27-012.cm.cluster,16-04-2023,14:10:32
l:10,0,0,100,0,0,0,0,124000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,304,264,0,0,3,0,2,3,Apr-16,14:10:32,node27-012.cm.cluster,16-04-2023,14:10:33
l:11,0,0,100,0,0,0,0,124000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,320,318,0,0,3,0,2,3,Apr-16,14:10:33,node27-012.cm.cluster,16-04-2023,14:10:34
l:12,0,0,100,0,0,0,0,130000,31424,0,0,0,0,2598000000,68900000000,53700000000,122000000000,293,246,1,0,3,0,2,3,Apr-16,14:10:34,node27-012.cm.cluster,16-04-2023,14:10:35
l:13,0,0,100,0,0,0,0,128000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,326,290,0,0,3,0,2,3,Apr-16,14:10:35,node27-012.cm.cluster,16-04-2023,14:10:36
l:14,0,0,100,0,0,0,98000,89000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,195,183,0,0,0,0,2,3,Apr-16,14:10:36,node27-012.cm.cluster,16-04-2023,14:10:37
l:15,0,0,100,0,0,0,0,122000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,327,335,0,0,3,0,2,3,Apr-16,14:10:37,node27-012.cm.cluster,16-04-2023,14:10:38
l:16,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,267,245,0,0,3,0,2,3,Apr-16,14:10:38,node27-012.cm.cluster,16-04-2023,14:10:39
l:17,0,0,100,0,0,0,0,81000,25664,0,0,0,0,2598000000,68900000000,53700000000,122000000000,198,175,0,0,3,0,2,3,Apr-16,14:10:39,node27-012.cm.cluster,16-04-2023,14:10:40
l:18,0,0,100,0,0,0,197000,129000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,290,270,0,0,3,0,2,3,Apr-16,14:10:40,node27-012.cm.cluster,16-04-2023,14:10:41
l:19,0,0,100,0,0,0,0,88000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,234,257,0,0,0,0,2,3,Apr-16,14:10:41,node27-012.cm.cluster,16-04-2023,14:10:42
l:20,0,0,100,0,0,0,0,79000,22976,0,0,0,0,2598000000,68900000000,53700000000,122000000000,209,197,0,0,3,0,2,3,Apr-16,14:10:42,node27-012.cm.cluster,16-04-2023,14:10:43
l:21,1,1,99,0,0,0,131000,550000,171000,0,0,0,0,2642000000,68800000000,53800000000,122000000000,2957,8355,0,0,62,0,2,3,Apr-16,14:10:43,node27-012.cm.cluster,16-04-2023,14:10:43
l:22,5,8,87,0,0,0,0,1146000,929000,125000,90000,0,0,5656000000,65900000000,53800000000,120000000000,13000,17000,0,0,3,0,2,3,Apr-16,14:10:44,node27-012.cm.cluster,16-04-2023,14:10:44
l:23,0,0,100,0,0,0,0,93000,38000,0,0,0,0,5658000000,65900000000,53800000000,120000000000,329,528,0,0,3,0,2,3,Apr-16,14:10:45,node27-012.cm.cluster,16-04-2023,14:10:46
l:24,0,0,100,0,0,0,0,103000,22976,0,0,0,0,5658000000,65900000000,53800000000,120000000000,215,194,0,0,0,0,2,3,Apr-16,14:10:46,node27-012.cm.cluster,16-04-2023,14:10:47
l:25,0,0,100,0,0,0,0,131000,40000,0,0,0,0,5657000000,65900000000,53800000000,120000000000,310,413,0,0,3,0,2,3,Apr-16,14:10:47,node27-012.cm.cluster,16-04-2023,14:10:48
l:26,0,0,99,0,0,0,0,110000,190000,0,0,0,0,5657000000,65900000000,53800000000,120000000000,2000,2989,0,0,3,0,2,3,Apr-16,14:10:48,node27-012.cm.cluster,16-04-2023,14:10:49
l:27,0,0,100,0,0,0,0,100000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,1438,4180,0,0,3,0,2,3,Apr-16,14:10:49,node27-012.cm.cluster,16-04-2023,14:10:50
l:28,0,0,100,0,0,0,0,141000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,412,722,0,0,3,0,2,3,Apr-16,14:10:50,node27-012.cm.cluster,16-04-2023,14:10:51
l:29,0,0,100,0,0,0,0,112000,33000,0,0,0,0,5656000000,65900000000,53800000000,120000000000,253,333,0,0,0,0,2,3,Apr-16,14:10:51,node27-012.cm.cluster,16-04-2023,14:10:52
l:30,0,0,100,0,0,0,0,99000,16000,0,0,0,0,5656000000,65900000000,53800000000,120000000000,243,240,0,0,3,0,2,3,Apr-16,14:10:52,node27-012.cm.cluster,16-04-2023,14:10:53
l:31,0,0,100,0,0,0,0,161000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,367,346,0,0,3,0,2,3,Apr-16,14:10:53,node27-012.cm.cluster,16-04-2023,14:10:54
l:32,0,0,100,0,0,0,0,137000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,295,248,1,0,3,0,2,3,Apr-16,14:10:54,node27-012.cm.cluster,16-04-2023,14:10:55
l:33,0,0,100,0,0,0,0,76000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,226,217,0,0,3,0,2,3,Apr-16,14:10:55,node27-012.cm.cluster,16-04-2023,14:10:56
l:34,0,0,100,0,0,0,557000,154000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,288,254,0,0,0,0,2,3,Apr-16,14:10:56,node27-012.cm.cluster,16-04-2023,14:10:57
l:35,0,0,100,0,0,0,0,128000,22976,0,0,0,0,5656000000,65900000000,53800000000,120000000000,337,340,0,0,3,0,2,3,Apr-16,14:10:57,node27-012.cm.cluster,16-04-2023,14:10:58
l:36,0,0,100,0,0,0,0,74000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,189,178,0,0,3,0,2,3,Apr-16,14:10:58,node27-012.cm.cluster,16-04-2023,14:10:59
l:37,0,0,100,0,0,0,0,148000,29000,0,0,0,0,5655000000,65900000000,53800000000,120000000000,328,364,0,0,3,0,2,3,Apr-16,14:10:59,node27-012.cm.cluster,16-04-2023,14:11:00
l:38,0,0,100,0,0,0,0,127000,13000,0,0,0,0,5655000000,65900000000,53800000000,120000000000,266,268,0,0,3,0,2,3,Apr-16,14:11:00,node27-012.cm.cluster,16-04-2023,14:11:01
l:39,0,0,100,0,0,0,623000,95000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,263,312,0,0,0,0,2,3,Apr-16,14:11:01,node27-012.cm.cluster,16-04-2023,14:11:02
l:40,0,0,100,0,0,0,0,135000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,294,287,0,0,3,0,2,3,Apr-16,14:11:02,node27-012.cm.cluster,16-04-2023,14:11:03
l:41,0,0,100,0,0,0,0,103000,27200,0,0,0,0,5655000000,65900000000,53800000000,120000000000,274,263,0,0,3,0,2,3,Apr-16,14:11:03,node27-012.cm.cluster,16-04-2023,14:11:04
l:42,0,0,100,0,0,0,0,98000,27200,0,0,0,0,5655000000,65900000000,53800000000,120000000000,254,244,1,0,3,0,2,3,Apr-16,14:11:04,node27-012.cm.cluster,16-04-2023,14:11:05
l:43,0,0,100,0,0,0,0,117000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,346,362,0,0,3,0,2,3,Apr-16,14:11:05,node27-012.cm.cluster,16-04-2023,14:11:06
l:44,0,0,100,0,0,0,0,106000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,237,233,0,0,0,0,2,3,Apr-16,14:11:06,node27-012.cm.cluster,16-04-2023,14:11:07
l:45,0,0,100,0,0,0,0,85000,38208,0,14592,0,0,5655000000,65900000000,53800000000,120000000000,236,234,0,0,3,0,2,3,Apr-16,14:11:07,node27-012.cm.cluster,16-04-2023,14:11:08
l:46,0,0,100,0,0,0,0,98000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,243,252,0,0,3,0,2,3,Apr-16,14:11:08,node27-012.cm.cluster,16-04-2023,14:11:09
l:47,0,0,100,0,0,0,0,105000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,311,334,0,0,3,0,2,3,Apr-16,14:11:09,node27-012.cm.cluster,16-04-2023,14:11:10
l:48,0,0,100,0,0,0,983000,85000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,247,270,0,0,3,0,2,3,Apr-16,14:11:10,node27-012.cm.cluster,16-04-2023,14:11:11
l:49,0,0,100,0,0,0,0,71000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,193,210,0,0,0,0,2,3,Apr-16,14:11:11,node27-012.cm.cluster,16-04-2023,14:11:12
l:50,0,0,100,0,0,0,0,115000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,296,292,0,0,3,0,2,3,Apr-16,14:11:12,node27-012.cm.cluster,16-04-2023,14:11:13
l:51,0,0,100,0,0,0,66000,91000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,329,350,0,0,3,0,2,3,Apr-16,14:11:13,node27-012.cm.cluster,16-04-2023,14:11:14
l:52,0,0,100,0,0,0,0,91000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,251,239,1,0,3,0,2,3,Apr-16,14:11:14,node27-012.cm.cluster,16-04-2023,14:11:15
l:53,0,0,100,0,0,0,0,130000,29000,0,0,0,0,5655000000,65900000000,53800000000,120000000000,358,419,0,0,3,0,2,3,Apr-16,14:11:15,node27-012.cm.cluster,16-04-2023,14:11:16
l:54,0,0,100,0,0,0,0,87000,13000,0,0,0,0,5655000000,65900000000,53800000000,120000000000,236,280,0,0,0,0,2,3,Apr-16,14:11:16,node27-012.cm.cluster,16-04-2023,14:11:17
l:55,0,0,100,0,0,0,0,120000,52288,0,0,0,0,5655000000,65900000000,53800000000,120000000000,338,353,0,0,3,0,1,3,Apr-16,14:11:17,node27-012.cm.cluster,16-04-2023,14:11:18
l:56,0,0,100,0,0,0,68000000,118000,27200,0,0,0,0,5655000000,65900000000,53800000000,120000000000,312,284,0,0,3,0,1,3,Apr-16,14:11:18,node27-012.cm.cluster,16-04-2023,14:11:19
l:57,0,0,100,0,0,0,0,77000,27200,0,0,0,0,5655000000,65900000000,53800000000,120000000000,208,211,0,0,3,0,1,3,Apr-16,14:11:19,node27-012.cm.cluster,16-04-2023,14:11:20
l:58,0,0,100,0,0,0,0,164000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,378,334,0,0,3,0,1,3,Apr-16,14:11:20,node27-012.cm.cluster,16-04-2023,14:11:21
l:59,0,0,100,0,0,0,0,70000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,224,280,0,0,0,0,1,3,Apr-16,14:11:21,node27-012.cm.cluster,16-04-2023,14:11:22
l:60,0,0,100,0,0,0,0,101000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,266,260,0,0,3,0,1,3,Apr-16,14:11:22,node27-012.cm.cluster,16-04-2023,14:11:23
l:61,0,0,100,0,0,0,0,146000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,324,288,0,0,3,0,1,3,Apr-16,14:11:23,node27-012.cm.cluster,16-04-2023,14:11:24
l:62,0,0,100,0,0,0,0,115000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,297,290,1,0,3,0,1,3,Apr-16,14:11:24,node27-012.cm.cluster,16-04-2023,14:11:25
l:63,0,0,100,0,0,0,0,133000,22976,20992,0,0,0,5655000000,65900000000,53800000000,120000000000,412,409,0,0,3,0,1,3,Apr-16,14:11:25,node27-012.cm.cluster,16-04-2023,14:11:26
l:64,0,0,100,0,0,0,66000,145000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,349,324,0,0,0,0,1,3,Apr-16,14:11:26,node27-012.cm.cluster,16-04-2023,14:11:27
l:65,0,0,100,0,0,0,0,112000,45504,0,0,0,0,5655000000,65900000000,53800000000,120000000000,305,274,0,0,3,0,1,3,Apr-16,14:11:27,node27-012.cm.cluster,16-04-2023,14:11:28
l:66,0,0,100,0,0,0,0,111000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,298,294,0,0,3,0,1,3,Apr-16,14:11:28,node27-012.cm.cluster,16-04-2023,14:11:29
l:67,0,0,100,0,0,0,0,118000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,361,382,0,0,3,0,1,3,Apr-16,14:11:29,node27-012.cm.cluster,16-04-2023,14:11:30
l:68,0,0,100,0,0,0,0,118000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,302,292,0,0,3,0,1,3,Apr-16,14:11:30,node27-012.cm.cluster,16-04-2023,14:11:31
l:69,0,0,100,0,0,0,918000,87000,22976,20992,0,0,0,5655000000,65900000000,53800000000,120000000000,245,264,0,0,0,0,1,3,Apr-16,14:11:31,node27-012.cm.cluster,16-04-2023,14:11:32
l:70,0,0,100,0,0,0,0,127000,25664,0,0,0,0,5655000000,65900000000,53800000000,120000000000,298,284,0,0,3,0,1,3,Apr-16,14:11:32,node27-012.cm.cluster,16-04-2023,14:11:33
l:71,0,0,100,0,0,0,0,67000,22976,0,0,0,0,5655000000,65900000000,53800000000,120000000000,267,308,0,0,3,0,1,3,Apr-16,14:11:33,node27-012.cm.cluster,16-04-2023,14:11:34
