l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node29-013.cm.cluster,16-04-2023,09:30:08
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node29-013.cm.cluster,16-04-2023,09:30:08
l:2,41,5,54,0,0,62000,2733000,0,0,0,0,1384,8304,2609000000,117000000000,5692000000,122000000000,4444,1219,0,0,2,0,2,2,Apr-16,09:30:08,node29-013.cm.cluster,16-04-2023,09:30:08
l:3,0,0,100,0,0,0,0,117000,10000,0,0,0,0,2609000000,117000000000,5692000000,122000000000,318,279,0,0,3,0,2,2,Apr-16,09:30:09,node29-013.cm.cluster,16-04-2023,09:30:09
l:4,0,0,100,0,0,0,0,107000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,205,175,0,0,0,0,2,2,Apr-16,09:30:10,node29-013.cm.cluster,16-04-2023,09:30:10
l:5,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,224,167,0,0,3,0,2,2,Apr-16,09:30:11,node29-013.cm.cluster,16-04-2023,09:30:11
l:6,0,0,100,0,0,0,524000,132000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,249,185,0,0,3,0,2,2,Apr-16,09:30:12,node29-013.cm.cluster,16-04-2023,09:30:12
l:7,0,0,100,0,0,0,0,105000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,322,287,0,0,3,0,2,2,Apr-16,09:30:13,node29-013.cm.cluster,16-04-2023,09:30:13
l:8,0,0,100,0,0,0,0,96000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,212,175,0,0,3,0,2,2,Apr-16,09:30:14,node29-013.cm.cluster,16-04-2023,09:30:14
l:9,0,0,100,0,0,0,0,128000,38592,0,0,0,0,2610000000,117000000000,5692000000,122000000000,247,187,0,0,0,0,2,2,Apr-16,09:30:15,node29-013.cm.cluster,16-04-2023,09:30:15
l:10,0,0,100,0,0,0,0,128000,22976,20992,0,0,0,2610000000,117000000000,5692000000,122000000000,286,225,0,0,3,0,2,2,Apr-16,09:30:16,node29-013.cm.cluster,16-04-2023,09:30:16
l:11,0,0,100,0,0,0,0,119000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,292,239,0,0,3,0,2,2,Apr-16,09:30:17,node29-013.cm.cluster,16-04-2023,09:30:17
l:12,0,0,100,0,0,0,0,103000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,233,210,0,0,3,0,2,2,Apr-16,09:30:18,node29-013.cm.cluster,16-04-2023,09:30:18
l:13,0,0,100,0,0,0,0,124000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,268,220,0,0,3,0,2,2,Apr-16,09:30:19,node29-013.cm.cluster,16-04-2023,09:30:19
l:14,0,0,100,0,0,0,66000,106000,31424,0,0,0,0,2610000000,117000000000,5692000000,122000000000,217,168,0,0,0,0,2,2,Apr-16,09:30:20,node29-013.cm.cluster,16-04-2023,09:30:20
l:15,0,0,100,0,0,0,0,107000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,294,243,0,0,3,0,2,2,Apr-16,09:30:21,node29-013.cm.cluster,16-04-2023,09:30:21
l:16,0,0,100,0,0,0,0,128000,22976,0,0,0,0,2610000000,117000000000,5692000000,122000000000,284,226,0,0,3,0,2,2,Apr-16,09:30:22,node29-013.cm.cluster,16-04-2023,09:30:22
l:17,0,0,100,0,0,0,33000,87000,22976,0,0,0,0,2609000000,117000000000,5692000000,122000000000,222,171,0,0,3,0,2,2,Apr-16,09:30:23,node29-013.cm.cluster,16-04-2023,09:30:23
l:18,0,0,100,0,0,0,0,111000,22976,0,0,0,0,2609000000,117000000000,5692000000,122000000000,229,178,0,0,3,0,2,2,Apr-16,09:30:24,node29-013.cm.cluster,16-04-2023,09:30:24
l:19,0,0,100,0,0,0,0,108000,25664,0,0,0,0,2609000000,117000000000,5692000000,122000000000,277,236,0,0,0,0,2,2,Apr-16,09:30:25,node29-013.cm.cluster,16-04-2023,09:30:25
l:20,0,0,100,0,0,0,0,101000,22976,0,0,0,0,2609000000,117000000000,5692000000,122000000000,245,206,0,0,3,0,2,2,Apr-16,09:30:26,node29-013.cm.cluster,16-04-2023,09:30:26
l:21,0,0,100,0,0,0,0,89000,22976,0,0,0,0,2609000000,117000000000,5692000000,122000000000,226,166,0,0,3,0,2,2,Apr-16,09:30:27,node29-013.cm.cluster,16-04-2023,09:30:27
l:22,6,10,84,0,0,0,0,1223000,759000,20992,0,0,0,11500000000,108000000000,5700000000,113000000000,17000,33000,20,0,75,0,2,2,Apr-16,09:30:28,node29-013.cm.cluster,16-04-2023,09:30:28
l:23,4,10,86,0,0,0,0,246000,92000,0,0,0,0,22200000000,97200000000,5702000000,103000000000,7403,1509,0,0,3,2,2,2,Apr-16,09:30:29,node29-013.cm.cluster,16-04-2023,09:30:29
l:24,0,0,100,0,0,0,328000,43000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,230,277,0,0,0,2,2,2,Apr-16,09:30:30,node29-013.cm.cluster,16-04-2023,09:30:30
l:25,0,0,100,0,0,0,0,75000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,273,322,0,0,3,2,2,2,Apr-16,09:30:31,node29-013.cm.cluster,16-04-2023,09:30:31
l:26,0,0,100,0,0,0,0,133000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,365,338,0,0,3,2,2,2,Apr-16,09:30:32,node29-013.cm.cluster,16-04-2023,09:30:32
l:27,1,2,98,0,0,0,68000000,45000,45504,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1365,477,1,0,3,2,2,2,Apr-16,09:30:33,node29-013.cm.cluster,16-04-2023,09:30:33
l:28,1,2,97,0,0,0,0,94000,190000,0,0,0,0,22200000000,97200000000,5702000000,103000000000,6429,2456,1,0,3,3,3,2,Apr-16,09:30:34,node29-013.cm.cluster,16-04-2023,09:30:34
l:29,1,2,97,0,0,0,0,100000,27200,0,0,0,0,22200000000,97200000000,5702000000,103000000000,2053,3850,1,0,0,3,3,2,Apr-16,09:30:35,node29-013.cm.cluster,16-04-2023,09:30:35
l:30,1,2,98,0,0,0,0,72000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1300,280,1,0,3,3,3,2,Apr-16,09:30:36,node29-013.cm.cluster,16-04-2023,09:30:36
l:31,1,2,97,0,0,0,0,126000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1531,480,1,0,3,3,3,2,Apr-16,09:30:37,node29-013.cm.cluster,16-04-2023,09:30:37
l:32,3,7,90,0,0,0,0,116000,60992,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5135,458,4,0,3,3,3,2,Apr-16,09:30:38,node29-013.cm.cluster,16-04-2023,09:30:38
l:33,3,7,90,0,0,0,0,123000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5322,441,4,0,3,4,3,2,Apr-16,09:30:39,node29-013.cm.cluster,16-04-2023,09:30:39
l:34,3,7,90,0,0,0,0,123000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5266,394,4,0,0,4,3,2,Apr-16,09:30:40,node29-013.cm.cluster,16-04-2023,09:30:40
l:35,4,11,85,0,0,0,0,109000,44992,0,0,0,0,22200000000,97200000000,5702000000,103000000000,7888,850,8,0,3,4,3,2,Apr-16,09:30:41,node29-013.cm.cluster,16-04-2023,09:30:41
l:36,5,15,80,0,0,0,0,114000,22976,20992,0,0,0,22200000000,97200000000,5702000000,103000000000,9299,473,8,0,3,4,3,2,Apr-16,09:30:42,node29-013.cm.cluster,16-04-2023,09:30:42
l:37,7,19,74,0,0,0,0,116000,45504,0,0,0,0,22200000000,97200000000,5702000000,103000000000,12000,549,18,0,3,4,3,2,Apr-16,09:30:43,node29-013.cm.cluster,16-04-2023,09:30:43
l:38,13,35,52,0,0,0,0,198000,63000,0,0,0,0,22200000000,97200000000,5702000000,103000000000,20000,623,0,0,3,6,3,2,Apr-16,09:30:44,node29-013.cm.cluster,16-04-2023,09:30:44
l:39,5,14,81,0,0,0,0,324000,209000,0,0,0,0,22200000000,97200000000,5702000000,103000000000,8939,1069,0,0,0,6,3,2,Apr-16,09:30:45,node29-013.cm.cluster,16-04-2023,09:30:45
l:40,0,0,100,0,0,0,33000,99000,15000,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1822,871,0,0,3,6,3,2,Apr-16,09:30:46,node29-013.cm.cluster,16-04-2023,09:30:46
l:41,0,0,100,0,0,0,0,122000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,2681,943,0,0,3,6,3,2,Apr-16,09:30:47,node29-013.cm.cluster,16-04-2023,09:30:47
l:42,0,0,100,0,0,0,0,103000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1144,666,0,0,3,6,3,2,Apr-16,09:30:48,node29-013.cm.cluster,16-04-2023,09:30:48
l:43,0,0,100,0,0,0,0,98000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,1444,874,0,0,3,7,4,2,Apr-16,09:30:49,node29-013.cm.cluster,16-04-2023,09:30:49
l:44,0,0,100,0,0,0,623000,125000,37184,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5066,1617,0,0,0,7,4,2,Apr-16,09:30:50,node29-013.cm.cluster,16-04-2023,09:30:50
l:45,0,2,98,0,0,0,0,101000,28608,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5246,2059,2,0,3,7,4,2,Apr-16,09:30:51,node29-013.cm.cluster,16-04-2023,09:30:51
l:46,1,2,97,0,0,0,0,90000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5421,2159,1,0,3,7,4,2,Apr-16,09:30:52,node29-013.cm.cluster,16-04-2023,09:30:52
l:47,1,2,97,0,0,0,557000,93000,38208,0,14592,0,0,22200000000,97200000000,5702000000,103000000000,13000,4985,2,0,3,7,4,2,Apr-16,09:30:53,node29-013.cm.cluster,16-04-2023,09:30:53
l:48,1,4,95,0,0,0,0,109000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,10000,3550,2,0,3,8,4,2,Apr-16,09:30:54,node29-013.cm.cluster,16-04-2023,09:30:54
l:49,1,4,95,0,0,0,98000,107000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,4659,1330,2,0,0,8,4,2,Apr-16,09:30:55,node29-013.cm.cluster,16-04-2023,09:30:55
l:50,1,4,94,0,0,0,0,90000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,7190,2291,3,0,3,8,4,2,Apr-16,09:30:56,node29-013.cm.cluster,16-04-2023,09:30:56
l:51,2,6,92,0,0,0,0,121000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,6023,1443,3,0,3,8,4,2,Apr-16,09:30:57,node29-013.cm.cluster,16-04-2023,09:30:57
l:52,2,6,92,0,0,0,0,112000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,5571,1416,3,0,3,8,4,2,Apr-16,09:30:58,node29-013.cm.cluster,16-04-2023,09:30:58
l:53,2,6,92,0,0,0,0,100000,25664,0,0,0,0,22200000000,97200000000,5702000000,103000000000,9642,2730,3,0,3,9,4,2,Apr-16,09:30:59,node29-013.cm.cluster,16-04-2023,09:30:59
l:54,2,6,92,0,0,0,786000,100000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,7562,2040,3,0,0,9,4,2,Apr-16,09:31:00,node29-013.cm.cluster,16-04-2023,09:31:00
l:55,2,6,92,0,0,0,0,129000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,7203,1995,3,0,3,9,4,2,Apr-16,09:31:01,node29-013.cm.cluster,16-04-2023,09:31:01
l:56,2,7,91,0,0,0,0,123000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,11000,2994,4,0,3,9,4,2,Apr-16,09:31:02,node29-013.cm.cluster,16-04-2023,09:31:02
l:57,3,7,90,0,0,0,0,137000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,10000,2708,4,0,3,9,4,2,Apr-16,09:31:03,node29-013.cm.cluster,16-04-2023,09:31:03
l:58,3,8,90,0,0,0,0,90000,22976,0,0,0,0,22200000000,97200000000,5702000000,103000000000,6034,948,4,0,3,9,4,2,Apr-16,09:31:04,node29-013.cm.cluster,16-04-2023,09:31:04
