l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-012.cm.cluster,16-04-2023,09:22:38
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-012.cm.cluster,16-04-2023,09:22:38
l:2,38,5,57,0,0,10000000,3772000,0,0,0,0,0,56,2508000000,120000000000,3229000000,123000000000,4189,3697,0,0,3,0,0,0,Apr-16,09:22:38,0,16-04-2023,09:22:38
l:3,0,0,100,0,0,0,0,72000,10000,0,0,0,0,2508000000,120000000000,3230000000,123000000000,205,189,0,0,3,0,0,0,Apr-16,09:22:39,0,16-04-2023,09:22:39
l:4,0,0,100,0,0,0,0,133000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,254,228,0,0,0,0,0,0,Apr-16,09:22:40,0,16-04-2023,09:22:40
l:5,0,0,100,0,0,0,557000,95000,22976,20992,0,0,0,2508000000,120000000000,3230000000,123000000000,252,236,0,0,4,0,0,0,Apr-16,09:22:41,0,16-04-2023,09:22:41
l:6,0,0,100,0,0,0,0,109000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,273,295,0,0,3,0,0,0,Apr-16,09:22:42,0,16-04-2023,09:22:42
l:7,0,0,100,0,0,0,0,95000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,234,214,0,0,3,0,0,0,Apr-16,09:22:43,0,16-04-2023,09:22:43
l:8,0,0,100,0,0,0,0,100000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,234,212,0,0,3,0,0,0,Apr-16,09:22:44,0,16-04-2023,09:22:44
l:9,0,0,100,0,0,0,66000,85000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,207,199,0,0,1,0,0,0,Apr-16,09:22:45,0,16-04-2023,09:22:45
l:10,0,0,100,0,0,0,0,100000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,279,300,0,0,3,0,0,0,Apr-16,09:22:46,0,16-04-2023,09:22:46
l:11,0,0,100,0,0,0,0,93000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,238,200,0,0,3,0,0,0,Apr-16,09:22:47,0,16-04-2023,09:22:47
l:12,0,0,100,0,0,0,0,86000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,212,202,0,0,3,0,0,0,Apr-16,09:22:48,0,16-04-2023,09:22:48
l:13,0,1,99,0,0,0,0,139000,192000,0,0,0,0,2509000000,120000000000,3230000000,123000000000,2885,4892,0,0,3,0,0,0,Apr-16,09:22:49,0,16-04-2023,09:22:49
l:14,0,0,100,0,0,0,0,62000,22976,0,0,0,0,2509000000,120000000000,3230000000,123000000000,975,2844,0,0,0,0,0,0,Apr-16,09:22:50,0,16-04-2023,09:22:50
l:15,0,0,100,0,0,0,0,117000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,292,246,0,0,3,0,0,0,Apr-16,09:22:51,0,16-04-2023,09:22:51
l:16,0,0,100,0,0,0,0,110000,28736,0,0,0,0,2508000000,120000000000,3230000000,123000000000,235,207,0,0,3,0,0,0,Apr-16,09:22:52,0,16-04-2023,09:22:52
l:17,0,0,100,0,0,0,0,95000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,219,198,0,0,3,0,0,0,Apr-16,09:22:53,0,16-04-2023,09:22:53
l:18,0,0,100,0,0,0,852000,142000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,363,366,0,0,3,0,0,0,Apr-16,09:22:54,0,16-04-2023,09:22:54
l:19,0,0,100,0,0,0,197000,105000,22976,0,0,0,0,2508000000,120000000000,3230000000,123000000000,279,269,0,0,0,0,0,0,Apr-16,09:22:55,0,16-04-2023,09:22:55
l:20,0,0,100,0,0,0,0,367000,12000,0,0,0,0,2510000000,120000000000,3230000000,123000000000,432,361,1,0,10,0,0,0,Apr-16,09:22:56,0,16-04-2023,09:22:56
l:21,0,1,92,6,0,0,590000,75000000,1354000,0,0,0,0,2539000000,120000000000,3238000000,123000000000,3992,8353,0,0,30,0,0,0,Apr-16,09:22:57,0,16-04-2023,09:22:57
l:22,8,15,66,11,0,0,0,91000000,2037000,0,0,0,0,0,106000000000,3257000000,109000000000,22000,38000,20,0,44,0,0,0,Apr-16,09:22:58,0,16-04-2023,09:22:58
l:23,3,6,91,0,0,0,0,253000,115000,0,0,0,0,0,100000000000,3257000000,103000000000,7867,1989,0,0,3,2,0,0,Apr-16,09:22:59,0,16-04-2023,09:22:59
l:24,3,7,91,0,0,0,0,131000,22976,20992,0,0,0,0,100000000000,3257000000,103000000000,4720,565,6,0,0,2,0,0,Apr-16,09:23:00,0,16-04-2023,09:23:00
l:25,5,13,82,0,0,0,0,108000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,8462,632,10,0,3,2,0,0,Apr-16,09:23:01,0,16-04-2023,09:23:01
l:26,9,23,68,0,0,0,0,107000,64320,0,0,0,0,0,100000000000,3258000000,103000000000,14000,781,15,0,3,2,0,0,Apr-16,09:23:02,0,16-04-2023,09:23:02
l:27,6,14,80,0,0,0,67000000,222000,77000,0,0,0,0,0,100000000000,3258000000,103000000000,9153,629,2,0,3,2,0,0,Apr-16,09:23:03,0,16-04-2023,09:23:03
l:28,2,6,91,0,0,0,0,104000,31424,0,0,0,0,0,100000000000,3258000000,103000000000,4324,456,4,0,3,3,1,0,Apr-16,09:23:04,0,16-04-2023,09:23:04
l:29,4,10,86,0,0,0,0,113000,28608,0,0,0,0,0,100000000000,3258000000,103000000000,6459,496,7,0,0,3,1,0,Apr-16,09:23:05,0,16-04-2023,09:23:05
l:30,6,16,78,0,0,0,0,110000,27200,0,0,0,0,0,100000000000,3258000000,103000000000,9792,579,11,0,3,3,1,0,Apr-16,09:23:06,0,16-04-2023,09:23:06
l:31,9,24,66,0,0,0,0,93000,60992,0,0,0,0,0,100000000000,3258000000,103000000000,15000,510,16,0,3,3,1,0,Apr-16,09:23:07,0,16-04-2023,09:23:07
l:32,12,31,57,0,0,0,0,106000,18000,0,0,0,0,0,100000000000,3258000000,103000000000,19000,525,20,0,3,3,1,0,Apr-16,09:23:08,0,16-04-2023,09:23:08
l:33,2,5,94,0,0,0,0,293000,200000,0,0,0,0,0,100000000000,3258000000,103000000000,12000,4344,0,0,3,4,1,0,Apr-16,09:23:09,0,16-04-2023,09:23:09
l:34,0,0,100,0,0,0,0,95000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,9891,3644,0,0,0,4,1,0,Apr-16,09:23:10,0,16-04-2023,09:23:10
l:35,0,1,98,0,0,0,557000,102000,22976,20992,0,0,0,0,100000000000,3258000000,103000000000,11000,4919,1,0,3,4,1,0,Apr-16,09:23:11,0,16-04-2023,09:23:11
l:36,1,2,97,0,0,0,0,71000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,12000,5608,1,0,3,4,1,0,Apr-16,09:23:12,0,16-04-2023,09:23:12
l:37,1,3,95,0,0,0,0,70000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,20000,9273,2,0,3,4,1,0,Apr-16,09:23:13,0,16-04-2023,09:23:13
l:38,2,4,94,0,0,0,0,105000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,22000,9832,3,0,3,5,1,0,Apr-16,09:23:14,0,16-04-2023,09:23:14
l:39,2,6,92,0,0,0,623000,70000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,17000,6539,3,0,0,5,1,0,Apr-16,09:23:15,0,16-04-2023,09:23:15
l:40,3,6,91,0,0,0,0,91000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,15000,5288,4,0,3,5,1,0,Apr-16,09:23:16,0,16-04-2023,09:23:16
l:41,3,7,90,0,0,0,0,105000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,19000,7322,4,0,3,5,1,0,Apr-16,09:23:17,0,16-04-2023,09:23:17
l:42,3,8,88,0,0,0,0,106000,28608,0,0,0,0,0,100000000000,3258000000,103000000000,18000,6539,5,0,3,5,1,0,Apr-16,09:23:18,0,16-04-2023,09:23:18
l:43,4,9,87,0,0,0,0,89000,31424,0,0,0,0,0,100000000000,3258000000,103000000000,21000,7452,5,0,3,6,2,1,Apr-16,09:23:19,0,16-04-2023,09:23:19
l:44,4,10,86,0,0,0,0,104000,22976,20992,0,0,0,0,100000000000,3258000000,103000000000,17000,5083,7,0,0,6,2,1,Apr-16,09:23:20,0,16-04-2023,09:23:20
l:45,4,11,85,0,0,0,0,131000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,21000,7547,6,0,3,6,2,1,Apr-16,09:23:21,0,16-04-2023,09:23:21
l:46,5,12,83,0,0,0,0,91000,22976,0,0,0,0,0,100000000000,3258000000,103000000000,17000,4888,7,0,3,6,2,1,Apr-16,09:23:22,0,16-04-2023,09:23:22
l:47,5,13,82,0,0,0,0,103000,22976,0,0,0,0,0,0,3258000000,103000000000,21000,6144,7,0,3,6,2,1,Apr-16,09:23:23,0,16-04-2023,09:23:23
l:48,5,13,81,0,0,0,5374000,161000,22976,0,0,0,0,0,0,3258000000,103000000000,18000,5251,9,0,3,7,2,1,Apr-16,09:23:24,0,16-04-2023,09:23:24
l:49,6,15,80,0,0,0,623000,101000,22976,0,0,0,0,0,0,3258000000,103000000000,21000,6470,8,0,1,7,2,1,Apr-16,09:23:25,0,16-04-2023,09:23:25
l:50,5,15,80,0,0,0,0,114000,22976,0,0,0,0,0,0,3258000000,103000000000,22000,6874,8,0,3,7,2,1,Apr-16,09:23:26,0,16-04-2023,09:23:26
l:51,6,15,79,0,0,0,0,166000,22976,0,0,0,0,0,0,3258000000,103000000000,22000,6370,9,0,3,7,2,1,Apr-16,09:23:27,0,16-04-2023,09:23:27
l:52,6,17,77,0,0,0,0,70000,22976,0,0,0,0,0,0,3258000000,103000000000,18000,4298,9,0,3,7,2,1,Apr-16,09:23:28,0,16-04-2023,09:23:28
l:53,6,17,77,0,0,0,0,115000,22976,0,0,0,0,0,0,3258000000,103000000000,19000,5007,9,0,3,8,2,1,Apr-16,09:23:29,0,16-04-2023,09:23:29
l:54,7,18,76,0,0,0,0,132000,22976,0,0,0,0,0,0,3258000000,103000000000,20000,5263,10,0,0,8,2,1,Apr-16,09:23:30,0,16-04-2023,09:23:30
l:55,7,18,75,0,0,0,0,80000,22976,0,0,0,0,0,0,3258000000,103000000000,18000,3861,10,0,3,8,2,1,Apr-16,09:23:31,0,16-04-2023,09:23:31
l:56,7,18,75,0,0,0,0,122000,22976,0,0,0,0,0,0,3258000000,103000000000,21000,4729,10,0,3,8,2,1,Apr-16,09:23:32,0,16-04-2023,09:23:32
l:57,7,18,75,0,0,0,0,123000,45504,20992,0,0,0,0,0,3258000000,103000000000,23000,5829,10,0,3,8,2,1,Apr-16,09:23:33,0,16-04-2023,09:23:33
l:58,8,20,73,0,0,0,0,88000,32832,0,0,0,0,0,0,3258000000,103000000000,24000,6125,11,0,3,9,2,1,Apr-16,09:23:34,0,16-04-2023,09:23:34
l:59,7,20,72,0,0,0,0,72000,27200,0,0,0,0,0,0,3258000000,103000000000,27000,8183,11,0,0,9,2,1,Apr-16,09:23:35,0,16-04-2023,09:23:35
l:60,8,20,72,0,0,0,0,100000,22976,0,0,0,0,0,0,3258000000,103000000000,22000,4868,11,0,3,9,2,1,Apr-16,09:23:36,0,16-04-2023,09:23:36
l:61,8,21,71,0,0,0,0,93000,22976,0,0,0,0,0,0,3258000000,103000000000,17000,2056,12,0,3,9,2,1,Apr-16,09:23:37,0,16-04-2023,09:23:37
l:62,8,22,70,0,0,0,0,77000,22976,0,0,0,0,0,0,3258000000,103000000000,24000,5226,12,0,3,9,2,1,Apr-16,09:23:38,0,16-04-2023,09:23:38
l:63,8,22,70,0,0,0,0,144000,25664,0,0,0,0,0,0,3258000000,103000000000,24000,4837,12,0,3,10,3,1,Apr-16,09:23:39,0,16-04-2023,09:23:39
l:64,8,22,70,0,0,0,0,104000,22976,0,0,0,0,0,0,3258000000,103000000000,28000,6650,12,0,0,10,3,1,Apr-16,09:23:40,0,16-04-2023,09:23:40
l:65,8,23,69,0,0,0,66000,109000,22976,0,0,0,0,0,0,3258000000,103000000000,27000,5411,13,0,3,10,3,1,Apr-16,09:23:41,0,16-04-2023,09:23:41
l:66,9,24,67,0,0,0,0,109000,22976,0,0,0,0,0,0,3258000000,103000000000,28000,6479,13,0,3,10,3,1,Apr-16,09:23:42,0,16-04-2023,09:23:42
l:67,9,24,67,0,0,0,0,117000,38208,0,14592,0,0,0,0,3258000000,103000000000,21000,3338,13,0,3,10,3,1,Apr-16,09:23:43,0,16-04-2023,09:23:43
l:68,9,24,67,0,0,0,0,109000,22976,0,0,0,0,0,0,3258000000,103000000000,28000,5981,14,0,3,11,3,1,Apr-16,09:23:44,0,16-04-2023,09:23:44
l:69,9,26,65,0,0,0,885000,152000,22976,0,0,0,0,0,0,3258000000,103000000000,20000,2513,14,0,0,11,3,1,Apr-16,09:23:45,0,16-04-2023,09:23:45
l:70,10,27,63,0,0,0,0,104000,27200,0,0,0,0,0,0,3258000000,103000000000,27000,5013,15,0,3,11,3,1,Apr-16,09:23:46,0,16-04-2023,09:23:46
l:71,11,29,61,0,0,0,0,116000,53952,0,0,0,0,0,0,3258000000,103000000000,29000,5681,16,0,3,11,3,1,Apr-16,09:23:47,0,16-04-2023,09:23:47
l:72,12,31,58,0,0,0,0,138000,59584,0,0,0,0,0,0,3258000000,103000000000,35000,7704,18,0,3,11,3,1,Apr-16,09:23:48,0,16-04-2023,09:23:48
l:73,13,33,54,0,0,0,0,102000,207000,0,0,0,0,0,0,3258000000,103000000000,34000,7554,19,0,3,11,3,1,Apr-16,09:23:49,0,16-04-2023,09:23:49
l:74,13,34,52,0,0,0,0,343000,244000,0,0,0,0,0,0,3258000000,103000000000,33000,9056,0,0,0,11,3,1,Apr-16,09:23:50,0,16-04-2023,09:23:50
l:75,11,29,60,0,0,0,0,220000,93000,0,0,0,0,0,0,3258000000,103000000000,18000,2023,1,0,3,11,3,1,Apr-16,09:23:51,0,16-04-2023,09:23:51
l:76,9,22,69,0,0,0,0,429000,357000,0,0,0,0,0,0,3258000000,103000000000,14000,579,20,0,3,11,3,1,Apr-16,09:23:52,0,16-04-2023,09:23:52
l:77,5,13,83,0,0,0,0,454000,314000,0,0,0,0,0,0,3258000000,103000000000,8769,1474,0,0,3,11,3,1,Apr-16,09:23:53,0,16-04-2023,09:23:53
l:78,0,0,100,0,0,0,131000,104000,22976,0,0,0,0,0,0,3258000000,103000000000,619,1064,0,0,3,12,3,1,Apr-16,09:23:54,0,16-04-2023,09:23:54
l:79,0,0,100,0,0,0,1049000,79000,22976,0,0,0,0,0,0,3258000000,103000000000,269,310,0,0,0,12,3,1,Apr-16,09:23:55,0,16-04-2023,09:23:55
l:80,0,0,100,0,0,0,0,153000,31424,0,0,0,0,0,0,3258000000,103000000000,436,489,0,0,3,12,3,1,Apr-16,09:23:56,0,16-04-2023,09:23:56
l:81,1,3,96,0,0,0,0,104000,22976,0,0,0,0,0,0,3258000000,103000000000,2066,477,7,0,3,12,3,1,Apr-16,09:23:57,0,16-04-2023,09:23:57
l:82,8,20,73,0,0,0,0,197000,125000,0,0,0,0,0,0,3258000000,103000000000,12000,1316,0,0,5,12,3,1,Apr-16,09:23:58,0,16-04-2023,09:23:58
l:83,1,3,95,0,0,0,0,119000,22976,0,0,0,0,0,0,3258000000,103000000000,2607,425,5,0,3,12,4,1,Apr-16,09:23:59,0,16-04-2023,09:23:59
l:84,4,11,85,0,0,0,0,102000,22976,0,0,0,0,0,0,3258000000,103000000000,7029,356,7,0,0,12,4,1,Apr-16,09:24:00,0,16-04-2023,09:24:00
l:85,6,16,78,0,0,0,0,69000,49728,0,0,0,0,0,0,3258000000,103000000000,9655,375,10,0,3,12,4,1,Apr-16,09:24:01,0,16-04-2023,09:24:01
l:86,9,22,69,0,0,0,0,179000,42000,0,0,0,0,0,0,3258000000,103000000000,14000,579,19,0,3,12,4,1,Apr-16,09:24:02,0,16-04-2023,09:24:02
l:87,1,2,97,0,0,0,0,248000,192000,0,0,0,0,0,0,3258000000,103000000000,8302,14000,0,0,3,12,4,1,Apr-16,09:24:03,0,16-04-2023,09:24:03
l:88,0,0,100,0,0,0,0,96000,31424,0,0,0,0,0,0,3258000000,103000000000,8078,16000,0,0,3,12,4,1,Apr-16,09:24:04,0,16-04-2023,09:24:04
l:89,0,1,99,0,0,0,0,95000,22976,0,0,0,0,0,0,3258000000,103000000000,7317,17000,0,0,0,12,4,1,Apr-16,09:24:05,0,16-04-2023,09:24:05
l:90,0,0,100,0,0,0,0,104000,22976,0,0,0,0,0,0,3258000000,103000000000,7201,17000,0,0,3,12,4,1,Apr-16,09:24:06,0,16-04-2023,09:24:06
l:91,0,1,99,0,0,0,0,114000,22976,0,0,0,0,0,0,3258000000,103000000000,8318,19000,0,0,3,12,4,1,Apr-16,09:24:07,0,16-04-2023,09:24:07
l:92,0,1,99,0,0,0,0,91000,45504,0,0,0,0,0,0,3258000000,103000000000,7211,17000,0,0,3,12,4,1,Apr-16,09:24:08,0,16-04-2023,09:24:08
l:93,0,0,100,0,0,0,0,90000,22976,0,0,0,0,0,0,3258000000,103000000000,6052,14000,1,0,3,12,4,1,Apr-16,09:24:09,0,16-04-2023,09:24:09
l:94,0,0,100,0,0,0,0,140000,22976,0,0,0,0,0,0,3258000000,103000000000,7640,17000,0,0,0,12,4,1,Apr-16,09:24:10,0,16-04-2023,09:24:10
l:95,0,1,99,0,0,0,66000,112000,22976,0,0,0,0,0,0,3258000000,103000000000,7268,17000,0,0,3,12,4,1,Apr-16,09:24:11,0,16-04-2023,09:24:11
l:96,0,0,100,0,0,0,0,104000,22976,0,0,0,0,0,0,3258000000,103000000000,6905,16000,1,0,3,12,4,1,Apr-16,09:24:12,0,16-04-2023,09:24:12
l:97,0,1,99,0,0,0,0,118000,22976,0,0,0,0,0,0,3258000000,103000000000,7901,18000,1,0,3,12,4,1,Apr-16,09:24:13,0,16-04-2023,09:24:13
l:98,0,1,99,0,0,0,0,91000,22976,0,0,0,0,0,0,3258000000,103000000000,7565,17000,1,0,3,12,4,1,Apr-16,09:24:14,0,16-04-2023,09:24:14
l:99,0,1,99,0,0,0,66000,105000,22976,20992,0,0,0,0,0,3258000000,103000000000,7425,17000,1,0,0,12,4,1,Apr-16,09:24:15,0,16-04-2023,09:24:15
l:100,0,1,99,0,0,0,0,129000,22976,0,0,0,0,0,0,3258000000,103000000000,6747,15000,0,0,3,12,4,1,Apr-16,09:24:16,0,16-04-2023,09:24:16
l:101,0,0,100,0,0,0,0,127000,22976,0,0,0,0,0,0,3258000000,103000000000,6937,16000,0,0,3,12,4,1,Apr-16,09:24:17,0,16-04-2023,09:24:17
l:102,0,1,99,0,0,0,0,96000,22976,0,0,0,0,0,0,3258000000,103000000000,8237,19000,0,0,3,12,4,1,Apr-16,09:24:18,0,16-04-2023,09:24:18
l:103,0,1,99,0,0,0,0,96000,31424,0,0,0,0,0,0,3258000000,103000000000,6821,16000,0,0,3,12,4,1,Apr-16,09:24:19,0,16-04-2023,09:24:19
l:104,0,1,99,0,0,0,0,119000,22976,20992,0,0,0,0,0,3258000000,103000000000,7884,18000,3,0,0,12,4,1,Apr-16,09:24:20,0,16-04-2023,09:24:20
l:105,0,1,99,0,0,0,0,91000,22976,0,0,0,0,0,0,3258000000,103000000000,7656,17000,0,0,3,12,4,1,Apr-16,09:24:21,0,16-04-2023,09:24:21
l:106,0,1,99,0,0,0,0,91000,22976,0,0,0,0,0,0,3258000000,103000000000,7563,17000,0,0,3,12,4,1,Apr-16,09:24:22,0,16-04-2023,09:24:22
l:107,0,1,99,0,0,0,0,124000,22976,0,0,0,0,0,0,3258000000,103000000000,6512,15000,0,0,3,12,4,1,Apr-16,09:24:23,0,16-04-2023,09:24:23
l:108,0,1,99,0,0,0,66000,91000,22976,0,0,0,0,0,0,3258000000,103000000000,7987,18000,0,0,3,11,4,2,Apr-16,09:24:24,0,16-04-2023,09:24:24
