l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node27-011.cm.cluster,16-04-2023,12:26:29
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node27-011.cm.cluster,16-04-2023,12:26:29
l:2,44,5,51,0,0,586000,3243000,0,0,0,0,552,3008,2556000000,112000000000,10700000000.0,123000000000,7333,5411,0,0,2.5,0,0.01,0.42,Apr-16,12:26:29,node27-011.cm.cluster,16-04-2023,12:26:29
l:3,0,0,100,0,0,0,0,96000,10000,3584,0,0,0,2557000000,112000000000,10700000000.0,123000000000,270,211,0,0,3.0,0,0.01,0.42,Apr-16,12:26:30,node27-011.cm.cluster,16-04-2023,12:26:30
l:4,0,0,100,0,0,0,0,110000,22976,3584,0,0,0,2557000000,112000000000,10700000000.0,123000000000,281,206,0,0,3.0,0,0.01,0.42,Apr-16,12:26:31,node27-011.cm.cluster,16-04-2023,12:26:31
l:5,0,0,100,0,0,0,0,117000,22976,3584,0,0,0,2557000000,112000000000,10700000000.0,123000000000,276,200,0,0,3.0,0,0.01,0.42,Apr-16,12:26:32,node27-011.cm.cluster,16-04-2023,12:26:32
l:6,0,0,100,0,0,0,0,93000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,283,248,0,0,3.0,0,0.01,0.42,Apr-16,12:26:33,node27-011.cm.cluster,16-04-2023,12:26:33
l:7,0,0,100,0,0,0,66000,100000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,213,176,0,0,0,0,0.01,0.42,Apr-16,12:26:34,node27-011.cm.cluster,16-04-2023,12:26:34
l:8,0,0,100,0,0,0,0,108000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,234,176,0,0,3.0,0,0.01,0.42,Apr-16,12:26:35,node27-011.cm.cluster,16-04-2023,12:26:35
l:9,0,0,100,0,0,0,0,114000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,257,194,0,0,3.0,0,0.01,0.42,Apr-16,12:26:36,node27-011.cm.cluster,16-04-2023,12:26:36
l:10,0,0,100,0,0,0,0,117000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,304,256,0,0,3.0,0,0.01,0.42,Apr-16,12:26:37,node27-011.cm.cluster,16-04-2023,12:26:37
l:11,0,0,100,0,0,0,33000,107000,22976,0,0,0,0,2557000000,112000000000,10700000000.0,123000000000,245,207,0,0,4.0,0,0.01,0.42,Apr-16,12:26:38,node27-011.cm.cluster,16-04-2023,12:26:38
