l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node26-005.cm.cluster,15-04-2023,23:31:05
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node26-005.cm.cluster,15-04-2023,23:31:05
0,37,5,59,0,0,0,0,0,0,0,0,0,48,0,0,0,0,3933,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,20992,0,0,0,0,0,0,0,227,210,0,0,0,0,0,0,0,0,0,0,0
0,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,3469,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,45504,0,0,0,0,0,0,0,0,923,2550,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,231,237,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,272,230,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,272,293,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,234,193,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,349,293,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,256,213,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,352,342,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,257,223,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,242,233,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,320,279,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,38592,20992,0,0,0,0,0,0,0,311,325,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,268,224,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,302,250,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,31424,0,0,0,0,0,0,0,0,280,225,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,482,385,0,0,3,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,303,245,0,0,3,0,0,0,0,0,0,0,0
0,2,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,76,0,0,0,0,0,0,0,0
0,13,31,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,22,0,0,0,0,0,0,0,0,0,0
0,6,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,0,0,3,0,0,0,0,0,0,0,0
0,0,1,99,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,7539,0,0,3,2,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,6625,0,0,3,2,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,5488,0,0,4,2,0,0,0,0,0,0,0
0,0,1,99,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,8435,0,0,0,2,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,20992,0,0,0,0,0,0,0,0,5826,0,0,4,2,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,9555,0,0,3,3,1,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,9875,1,0,3,3,1,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,22976,0,0,0,0,0,0,0,0,0,9094,1,0,0,3,1,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,27200,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,27200,0,0,0,0,0,0,0,0,0,8795,0,0,3,4,1,0,0,0,0,0,0
