"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node25-018.cm.cluster",,,,"User:","machajewskim"
"Cmdline:","dstat --all --full -D total --output 1680366979158248026myfile.csv",,,,"Date:","01 Apr 2023 18:36:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"net/ib0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","net/eno1:recv","net/eno1:send","net/ib0:recv","net/ib0:send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","time"
37.959,4.352,57.642,0.047,0,621875.969,326629.087,0,0,0,0,18.057,50.408,2699649024,96706863104,35160977408,131080544256,5018.377,28189.038,0,0,4.685,5.460,7.780,6.390,Apr-01 18:36:19
0.350,0.350,99.300,0,0,0,0,41069,32198,0,0,0,0,2703548416,96702910464,35161030656,131076644864,2418,4696,0,0,0,5.460,7.780,6.390,Apr-01 18:36:20
0.075,0.075,99.850,0,0,0,0,13296,264,0,0,0,0,2701963264,96704495616,35161030656,131078234112,1029,2801,0,0,3,5.460,7.780,6.390,Apr-01 18:36:21
0,0,100,0,0,0,0,15998,264,0,0,0,0,2701991936,96704454656,35161042944,131078197248,271,243,0,0,3,5.460,7.780,6.390,Apr-01 18:36:22
0.025,0,99.975,0,0,0,0,15008,1578,0,0,0,0,2701942784,96704503808,35161042944,131078246400,275,265,0,0,3,5.020,7.650,6.350,Apr-01 18:36:23
0,0,100,0,0,0,0,17416,11542,0,0,0,0,2701942784,96704503808,35161042944,131078246400,327,306,0,0,3,5.020,7.650,6.350,Apr-01 18:36:24
0.025,0,99.975,0,0,0,0,15750,264,328,0,0,0,2701934592,96704512000,35161042944,131078254592,318,313,0,0,0,5.020,7.650,6.350,Apr-01 18:36:25
0,0,100,0,0,0,0,15656,264,0,0,0,0,2701742080,96704704512,35161042944,131078447104,352,263,0,0,3,5.020,7.650,6.350,Apr-01 18:36:26
0.025,0.025,99.950,0,0,0,0,17178,264,0,0,0,0,2701533184,96704913408,35161042944,131078660096,313,287,0,0,3,5.020,7.650,6.350,Apr-01 18:36:27
0,0,100,0,0,0,0,15256,1578,0,0,0,0,2701680640,96704765952,35161042944,131078512640,266,237,0,0,3,4.620,7.520,6.320,Apr-01 18:36:28
0.025,0,99.975,0,0,0,0,18566,17404,0,0,0,0,2701631488,96704815104,35161042944,131078561792,384,400,0,0,3,4.620,7.520,6.320,Apr-01 18:36:29
0.025,0,99.975,0,0,0,0,16366,264,0,0,0,0,2701537280,96704909312,35161042944,131078656000,277,256,0,0,0,4.620,7.520,6.320,Apr-01 18:36:30
0,0,100,0,0,0,0,16106,264,0,0,0,0,2701520896,96704925696,35161042944,131078672384,295,268,0,0,3,4.620,7.520,6.320,Apr-01 18:36:31
0.025,0,99.975,0,0,0,0,12536,264,0,0,0,0,2701332480,96705114112,35161042944,131078860800,239,216,0,0,3,4.620,7.520,6.320,Apr-01 18:36:32
0,0,100,0,0,0,0,16146,1578,0,0,0,0,2701283328,96705163264,35161042944,131078909952,340,342,0,0,3,4.250,7.400,6.280,Apr-01 18:36:33
0.025,0,99.975,0,0,0,0,16590,22364,0,0,0,0,2701283328,96705163264,35161042944,131078909952,316,296,0,0,3,4.250,7.400,6.280,Apr-01 18:36:34
0,0,100,0,0,0,0,11748,486,0,0,0,0,2701283328,96705163264,35161042944,131078909952,208,202,0,0,0,4.250,7.400,6.280,Apr-01 18:36:35
0.025,0,99.975,0,0,0,16384,11526,264,0,0,0,0,2701312000,96705114112,35161063424,131078860800,227,234,0,0,4,4.250,7.400,6.280,Apr-01 18:36:36
0,0,100,0,0,0,4096,13036,264,0,0,0,0,2701279232,96705146880,35161063424,131078901760,334,348,0,0,3,4.250,7.400,6.280,Apr-01 18:36:37
0.025,0,99.975,0,0,0,0,13486,1578,0,0,0,0,2701279232,96705146880,35161063424,131078901760,249,225,0,0,3,3.910,7.270,6.250,Apr-01 18:36:38
0.350,0.375,99.275,0,0,0,0,24653,164990,0,0,0,0,2717749248,96688676864,35161063424,131062431744,1151,1278,0,0,19,3.910,7.270,6.250,Apr-01 18:36:39
11.813,22.975,65.212,0,0,0,12288,181261,221320,328,0,0,0,23706718208,75691511808,35169259520,110072721408,27343,37941,20,0,60,3.910,7.270,6.250,Apr-01 18:36:40
0.351,39.178,50.626,9.845,0,0,0,206306,74058732,0,0,0,0,24143269888,64491003904,45908692992,109635194880,26950,25985,0,20,3,3.910,7.270,6.250,Apr-01 18:36:41
0,0.100,52.339,47.561,0,0,0,169568,122966638,0,0,0,0,24143032320,64491241472,45908692992,109635432448,7714,6054,0,20,3,3.910,7.270,6.250,Apr-01 18:36:42
0,0.100,52.427,47.472,0,0,0,129658,123090016,0,0,0,0,24143048704,64491225088,45908692992,109635416064,7090,5880,0,20,3,5.600,7.570,6.350,Apr-01 18:36:43
0,0.100,52.426,47.474,0,0,0,132320,123028412,0,0,0,0,24143065088,64491208704,45908692992,109635399680,7120,5943,2,20,3,5.600,7.570,6.350,Apr-01 18:36:44
0.025,0.125,52.401,47.449,0,0,8585216,127542,123034768,0,0,0,0,24142934016,64491339776,45908692992,109635530752,7194,6285,0,20,0,5.600,7.570,6.350,Apr-01 18:36:45
0,0.100,52.426,47.474,0,0,0,127902,123073870,0,0,0,0,24142934016,64491339776,45908692992,109635530752,7054,5878,0,20,3,5.600,7.570,6.350,Apr-01 18:36:46
0,0.100,52.426,47.474,0,0,0,136868,123039128,0,0,0,0,24142770176,64491503616,45908692992,109635694592,7162,5667,0,20,3,5.600,7.570,6.350,Apr-01 18:36:47
