l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄net/total┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node24-012.cm.cluster,07-04-2023,14:29:45
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node24-012.cm.cluster,07-04-2023,14:29:45
l:2,45,1,54,0,0,1419K,3263K,0,0,13B,63B,2648M,41.0G,81.5G,123G,5108,3943,0,0,5.6,0.01,0.03,0.05,Apr-07,14:29:45,node24-012.cm.cluster,07-04-2023,14:29:45
l:3,0,0,100,0,0,0,0,430K,95K,0,0,2654M,41.0G,81.5G,123G,673,716,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:46,node24-012.cm.cluster,07-04-2023,14:29:46
l:4,0,0,100,0,0,0,0,146K,4224B,0,0,2654M,41.0G,81.5G,123G,354,382,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:47,node24-012.cm.cluster,07-04-2023,14:29:47
l:5,0,0,100,0,0,0,0,121K,3168B,0,0,2654M,41.0G,81.5G,123G,377,423,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:48,node24-012.cm.cluster,07-04-2023,14:29:48
l:6,0,0,100,0,0,0,0,151K,17K,0,0,2655M,41.0G,81.5G,123G,406,417,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:49,node24-012.cm.cluster,07-04-2023,14:29:49
l:7,0,0,100,0,0,0,0,136K,3168B,0,0,2654M,41.0G,81.5G,123G,302,331,0,0,0,0.01,0.03,0.05,Apr-07,14:29:50,node24-012.cm.cluster,07-04-2023,14:29:50
l:8,0,0,100,0,0,0,0,144K,3168B,0,0,2654M,41.0G,81.5G,123G,354,358,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:51,node24-012.cm.cluster,07-04-2023,14:29:51
l:9,0,0,100,0,0,0,786K,116K,3168B,0,0,2654M,41.0G,81.5G,123G,356,415,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:52,node24-012.cm.cluster,07-04-2023,14:29:52
l:10,0,0,100,0,0,0,0,145K,5984B,0,0,2654M,41.0G,81.5G,123G,355,381,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:53,node24-012.cm.cluster,07-04-2023,14:29:53
l:11,0,0,100,0,0,0,0,110K,3168B,0,0,2654M,41.0G,81.5G,123G,274,303,0,0,3.0,0.01,0.03,0.05,Apr-07,14:29:54,node24-012.cm.cluster,07-04-2023,14:29:54
l:12,0,0,100,0,0,0,557K,131K,17K,0,0,2654M,41.0G,81.5G,123G,325,383,0,0,0,0.01,0.02,0.05,Apr-07,14:29:55,node24-012.cm.cluster,07-04-2023,14:29:55
