l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node26-009.cm.cluster,05-04-2023,16:35:40
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node26-009.cm.cluster,05-04-2023,16:35:40
l:2,37,1,63,0,0,2490K,1780K,0,0,0,0,1B,5B,2384M,48.9G,74.1G,123G,14K,40K,0,0,2.5,9.49,10.7,10.8,Apr-05,16:35:40,node26-009.cm.cluster,05-04-2023,16:35:40
l:3,0,0,100,0,0,0,33K,133K,9528B,2624B,0,0,0,2384M,48.9G,74.1G,123G,333,294,0,0,0,9.49,10.7,10.8,Apr-05,16:35:41,node26-009.cm.cluster,05-04-2023,16:35:41
l:4,0,0,100,0,0,0,0,100K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,241,210,0,0,3.0,8.73,10.6,10.8,Apr-05,16:35:42,node26-009.cm.cluster,05-04-2023,16:35:42
l:5,0,0,100,0,0,0,0,74K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,174,166,0,0,3.0,8.73,10.6,10.8,Apr-05,16:35:43,node26-009.cm.cluster,05-04-2023,16:35:43
l:6,0,0,100,0,0,0,0,109K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,317,294,0,0,3.0,8.73,10.6,10.8,Apr-05,16:35:44,node26-009.cm.cluster,05-04-2023,16:35:44
l:7,0,0,100,0,0,0,0,88K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,200,184,0,0,3.0,8.73,10.6,10.8,Apr-05,16:35:45,node26-009.cm.cluster,05-04-2023,16:35:45
l:8,0,0,100,0,0,0,0,100K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,231,211,0,0,0,8.73,10.6,10.8,Apr-05,16:35:46,node26-009.cm.cluster,05-04-2023,16:35:46
l:9,0,0,100,0,0,0,0,89K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,226,196,0,0,3.0,8.03,10.4,10.7,Apr-05,16:35:47,node26-009.cm.cluster,05-04-2023,16:35:47
l:10,0,0,100,0,0,0,0,100K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,312,290,0,0,3.0,8.03,10.4,10.7,Apr-05,16:35:48,node26-009.cm.cluster,05-04-2023,16:35:48
l:11,0,0,100,0,0,0,0,112K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,237,202,0,0,3.0,8.03,10.4,10.7,Apr-05,16:35:49,node26-009.cm.cluster,05-04-2023,16:35:49
l:12,0,0,100,0,0,0,0,87K,3928B,0,0,0,0,2384M,48.9G,74.1G,123G,229,196,0,0,3.0,8.03,10.4,10.7,Apr-05,16:35:50,node26-009.cm.cluster,05-04-2023,16:35:50
l:13,0,0,100,0,0,0,0,93K,2872B,2624B,0,0,0,2384M,48.9G,74.1G,123G,247,217,0,0,0,8.03,10.4,10.7,Apr-05,16:35:51,node26-009.cm.cluster,05-04-2023,16:35:51
l:14,0,0,100,0,0,0,0,90K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,292,278,0,0,3.0,7.39,10.2,10.7,Apr-05,16:35:52,node26-009.cm.cluster,05-04-2023,16:35:52
l:15,0,0,100,0,0,0,0,104K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,216,192,0,0,3.0,7.39,10.2,10.7,Apr-05,16:35:53,node26-009.cm.cluster,05-04-2023,16:35:53
l:16,0,0,100,0,0,0,0,116K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,271,228,0,0,3.0,7.39,10.2,10.7,Apr-05,16:35:54,node26-009.cm.cluster,05-04-2023,16:35:54
l:17,0,0,100,0,0,0,131K,90K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,204,198,0,0,3.0,7.39,10.2,10.7,Apr-05,16:35:55,node26-009.cm.cluster,05-04-2023,16:35:55
l:18,0,0,100,0,0,0,0,114K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,302,284,0,0,0,7.39,10.2,10.7,Apr-05,16:35:56,node26-009.cm.cluster,05-04-2023,16:35:56
l:19,0,0,100,0,0,0,0,128K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,303,259,0,0,3.0,6.80,10.0,10.6,Apr-05,16:35:57,node26-009.cm.cluster,05-04-2023,16:35:57
l:20,0,0,100,0,0,0,0,73K,2872B,0,0,0,0,2384M,48.9G,74.1G,123G,212,186,0,0,3.0,6.80,10.0,10.6,Apr-05,16:35:58,node26-009.cm.cluster,05-04-2023,16:35:58
l:21,0,0,100,0,0,0,0,148K,3592B,0,0,0,0,2384M,48.9G,74.1G,123G,320,270,0,0,3.0,6.80,10.0,10.6,Apr-05,16:35:59,node26-009.cm.cluster,05-04-2023,16:35:59
l:22,1,1,98,0,0,0,0,578K,198K,0,0,0,0,2441M,48.9G,74.1G,123G,22K,48K,0,0,75,6.80,10.0,10.6,Apr-05,16:36:00,node26-009.cm.cluster,05-04-2023,16:36:00
l:23,10,18,73,0,0,0,0,944K,719K,0,0,0,0,21.4G,29.9G,74.1G,104G,73K,129K,20,0,0,6.80,10.0,10.6,Apr-05,16:36:01,node26-009.cm.cluster,05-04-2023,16:36:01
l:24,1,39,51,9,0,0,0,2088K,562M,0,0,0,0,22.3G,19.0G,84.1G,103G,27K,27K,0,20,5.0,7.85,10.2,10.6,Apr-05,16:36:02,node26-009.cm.cluster,05-04-2023,16:36:02
l:25,0,0,50,50,0,0,0,1501K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,8654,7045,0,20,3.0,7.85,10.2,10.6,Apr-05,16:36:03,node26-009.cm.cluster,05-04-2023,16:36:03
l:26,0,0,50,50,0,0,197K,1493K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,7977,5872,0,20,3.0,7.85,10.2,10.6,Apr-05,16:36:04,node26-009.cm.cluster,05-04-2023,16:36:04
l:27,0,0,50,50,0,0,0,1537K,985M,0,0,0,0,22.3G,19.0G,84.1G,103G,8027,5540,0,20,3.0,7.85,10.2,10.6,Apr-05,16:36:05,node26-009.cm.cluster,05-04-2023,16:36:05
l:28,0,0,50,50,0,0,0,1516K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,7925,5452,0,20,0,7.85,10.2,10.6,Apr-05,16:36:06,node26-009.cm.cluster,05-04-2023,16:36:06
l:29,0,0,52,48,0,0,0,1470K,985M,0,0,0,0,22.3G,19.0G,84.1G,103G,7911,5908,0,20,3.0,8.83,10.4,10.7,Apr-05,16:36:07,node26-009.cm.cluster,05-04-2023,16:36:07
l:30,0,0,52,48,0,0,131K,1740K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,8484,5893,0,20,3.0,8.83,10.4,10.7,Apr-05,16:36:08,node26-009.cm.cluster,05-04-2023,16:36:08
l:31,0,0,52,47,0,0,0,1457K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,7887,5683,0,20,3.0,8.83,10.4,10.7,Apr-05,16:36:09,node26-009.cm.cluster,05-04-2023,16:36:09
l:32,0,0,52,48,0,0,1540K,1480K,985M,2624B,0,0,0,22.3G,19.0G,84.1G,103G,7969,5791,0,20,3.0,8.83,10.4,10.7,Apr-05,16:36:10,node26-009.cm.cluster,05-04-2023,16:36:10
l:33,0,0,52,48,0,0,721K,1562K,985M,0,0,0,0,22.3G,19.0G,84.1G,103G,8068,5835,0,20,0,8.83,10.4,10.7,Apr-05,16:36:11,node26-009.cm.cluster,05-04-2023,16:36:11
l:34,0,0,52,48,0,0,0,1439K,985M,0,0,0,0,22.3G,19.0G,84.1G,103G,7882,6063,0,20,3.0,9.72,10.5,10.7,Apr-05,16:36:12,node26-009.cm.cluster,05-04-2023,16:36:12
l:35,0,0,52,47,0,0,0,1456K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,7909,5811,0,20,3.0,9.72,10.5,10.7,Apr-05,16:36:13,node26-009.cm.cluster,05-04-2023,16:36:13
l:36,0,0,52,47,0,0,0,1419K,984M,0,0,0,0,22.3G,19.0G,84.1G,103G,7769,5574,0,20,3.0,9.72,10.5,10.7,Apr-05,16:36:14,node26-009.cm.cluster,05-04-2023,16:36:14
l:37,0,0,52,47,0,0,393K,1073K,985M,0,0,0,0,22.3G,18.9G,84.1G,103G,7171,5690,0,20,3.0,9.72,10.5,10.7,Apr-05,16:36:15,node26-009.cm.cluster,05-04-2023,16:36:15
l:38,0,0,52,47,0,0,0,1061K,984M,0,0,0,0,22.3G,18.9G,84.1G,103G,7170,5654,0,20,0,9.72,10.5,10.7,Apr-05,16:36:16,node26-009.cm.cluster,05-04-2023,16:36:16
l:39,0,0,52,47,0,0,0,1067K,984M,0,0,0,0,22.3G,18.9G,84.1G,103G,7326,6449,0,20,4.0,10.5,10.7,10.8,Apr-05,16:36:17,node26-009.cm.cluster,05-04-2023,16:36:17
