l:0,┄┄total┄cpu┄usage┄┄,┄dsk/total┄,┄┄net/eno1┄,┄┄net/ib0┄┄,┄┄┄paging┄┄,┄┄┄┄┄┄memory┄usage┄┄┄┄┄,┄┄┄system┄┄,┄┄┄procs┄┄┄,┄┄┄load┄avg┄┄┄,┄┄┄┄┄system┄┄┄┄,node24-012.cm.cluster,07-04-2023,14:18:32
l:1,usr,sys,idl,wai,stl,read,writ,recv,send,recv,send,in,out,used,free,cach,avai,int,csw,run,blk,new,1m,5m,15m,time,node24-012.cm.cluster,07-04-2023,14:18:32
l:2,45,1,54,0,0,1419000,3263000,0,0,0,0,104,504,2619000000,41100000000.0,81500000000.0,123000000000,5108,3943,0,0,5.6,0.08,0.09,0.09,Apr-07,14:18:32,node24-012.cm.cluster,07-04-2023,14:18:32
l:3,0,0,100,0,0,0,0,294000,65000,0,0,0,0,2622000000,41100000000.0,81500000000.0,123000000000,487,464,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:33,node24-012.cm.cluster,07-04-2023,14:18:33
l:4,0,0,100,0,0,0,0,128000,46208,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,225,205,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:34,node24-012.cm.cluster,07-04-2023,14:18:34
l:5,0,0,100,0,0,0,0,148000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,276,220,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:35,node24-012.cm.cluster,07-04-2023,14:18:35
l:6,0,0,100,0,0,0,0,112000,12000,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,221,201,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:36,node24-012.cm.cluster,07-04-2023,14:18:36
l:7,0,0,100,0,0,0,0,94000,16896,20992,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,261,247,0,0,0,0.08,0.09,0.09,Apr-07,14:18:37,node24-012.cm.cluster,07-04-2023,14:18:37
l:8,0,0,100,0,0,0,0,123000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,239,211,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:38,node24-012.cm.cluster,07-04-2023,14:18:38
l:9,0,0,100,0,0,0,0,106000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,224,191,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:39,node24-012.cm.cluster,07-04-2023,14:18:39
l:10,0,0,100,0,0,0,0,121000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,241,206,0,0,3.0,0.08,0.09,0.09,Apr-07,14:18:40,node24-012.cm.cluster,07-04-2023,14:18:40
l:11,0,0,100,0,0,0,33000,123000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,294,265,0,0,3.0,0.07,0.09,0.09,Apr-07,14:18:41,node24-012.cm.cluster,07-04-2023,14:18:41
l:12,0,0,100,0,0,0,0,124000,79104,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,197,191,0,0,0,0.07,0.09,0.09,Apr-07,14:18:42,node24-012.cm.cluster,07-04-2023,14:18:42
l:13,0,0,100,0,0,0,0,111000,34560,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,214,179,0,0,3.0,0.07,0.09,0.09,Apr-07,14:18:43,node24-012.cm.cluster,07-04-2023,14:18:43
l:14,0,0,100,0,0,0,0,125000,32128,0,14592,0,0,2623000000,41100000000.0,81500000000.0,123000000000,236,216,0,0,3.0,0.07,0.09,0.09,Apr-07,14:18:44,node24-012.cm.cluster,07-04-2023,14:18:44
l:15,0,0,100,0,0,0,0,139000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,322,281,0,0,3.0,0.07,0.09,0.09,Apr-07,14:18:45,node24-012.cm.cluster,07-04-2023,14:18:45
l:16,0,0,100,0,0,0,0,121000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,221,185,0,0,3.0,0.06,0.09,0.09,Apr-07,14:18:46,node24-012.cm.cluster,07-04-2023,14:18:46
l:17,0,0,100,0,0,0,0,114000,21120,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,229,188,0,0,0,0.06,0.09,0.09,Apr-07,14:18:47,node24-012.cm.cluster,07-04-2023,14:18:47
l:18,0,0,100,0,0,0,0,149000,21120,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,281,245,0,0,3.0,0.06,0.09,0.09,Apr-07,14:18:48,node24-012.cm.cluster,07-04-2023,14:18:48
l:19,0,0,100,0,0,0,0,105000,39424,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,295,267,0,0,3.0,0.06,0.09,0.09,Apr-07,14:18:49,node24-012.cm.cluster,07-04-2023,14:18:49
l:20,0,0,100,0,0,0,0,90000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,215,181,0,0,3.0,0.06,0.09,0.09,Apr-07,14:18:50,node24-012.cm.cluster,07-04-2023,14:18:50
l:21,0,0,100,0,0,0,98000,106000,16896,0,0,0,0,2623000000,41100000000.0,81500000000.0,123000000000,215,171,0,0,3.0,0.06,0.09,0.09,Apr-07,14:18:51,node24-012.cm.cluster,07-04-2023,14:18:51
